N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
2,0.5,0.5,2,50,0.05,0.5,14.1256,1.7,0.5774999999999997
2,0.5,0.5,2,100,0.05,0.5,25.0557,1.8,0.6774999999999998
2,0.5,0.5,3,50,0.05,0.5,14.3912,1.7,0.5774999999999997
2,0.5,0.5,3,100,0.05,0.5,28.0932,2.6,1.4774999999999996
2,0.5,0.5,4,50,0.05,0.5,15.1107,2.0,0.8774999999999997
2,0.5,0.5,4,100,0.05,0.5,29.1218,0.8,0.3225
2,0.5,0.25,2,50,0.05,0.5,13.6456,2.8,1.6774999999999998
2,0.5,0.25,2,100,0.05,0.5,28.3757,2.5,1.3775
2,0.5,0.25,3,50,0.05,0.5,15.6447,1.7,0.5774999999999997
2,0.5,0.25,3,100,0.05,0.5,22.5837,1.8,0.6774999999999998
2,0.5,0.25,4,50,0.05,0.5,14.9018,1.1,0.022499999999999964
2,0.5,0.25,4,100,0.05,0.5,28.0507,2.2,1.0774999999999997
2,0.5,0.1,2,50,0.05,0.5,14.4087,2.5,1.3775
2,0.5,0.1,2,100,0.05,0.5,26.4277,2.5,1.3775
2,0.5,0.1,3,50,0.05,0.5,15.0587,1.4,0.27749999999999986
2,0.5,0.1,3,100,0.05,0.5,30.2528,2.8,1.6774999999999998
2,0.5,0.1,4,50,0.05,0.5,11.6537,2.5,1.3775
2,0.5,0.1,4,100,0.05,0.5,31.1927,1.0,0.12250000000000005
2,0.5,0.05,2,50,0.05,0.5,14.4587,0.9,0.22250000000000003
2,0.5,0.05,2,100,0.05,0.5,27.5147,2.1,0.9774999999999996
2,0.5,0.05,3,50,0.05,0.5,11.2319,1.8,0.6774999999999998
2,0.5,0.05,3,100,0.05,0.5,23.9905,1.9,0.7774999999999996
2,0.5,0.05,4,50,0.05,0.5,11.7467,1.9,0.7774999999999996
2,0.5,0.05,4,100,0.05,0.5,30.8297,1.8,0.6774999999999998
2,0.5,0.01,2,50,0.05,0.5,15.1557,2.0,0.8774999999999997
2,0.5,0.01,2,100,0.05,0.5,23.6197,1.4,0.27749999999999986
2,0.5,0.01,3,50,0.05,0.5,12.3057,1.8,0.6774999999999998
2,0.5,0.01,3,100,0.05,0.5,22.9697,2.5,1.3775
2,0.5,0.01,4,50,0.05,0.5,13.4047,1.1,0.022499999999999964
2,0.5,0.01,4,100,0.05,0.5,26.5987,1.0,0.12250000000000005
2,0.3,0.5,2,50,0.05,0.5,12.1717,1.1,0.022499999999999964
2,0.3,0.5,2,100,0.05,0.5,27.3367,1.8,0.6774999999999998
2,0.3,0.5,3,50,0.05,0.5,12.7267,2.2,1.0774999999999997
2,0.3,0.5,3,100,0.05,0.5,27.8247,2.6,1.4774999999999996
2,0.3,0.5,4,50,0.05,0.5,15.2187,2.7,1.5774999999999992
2,0.3,0.5,4,100,0.05,0.5,28.2307,1.1,0.022499999999999964
2,0.3,0.25,2,50,0.05,0.5,10.8027,1.8,0.6774999999999998
2,0.3,0.25,2,100,0.05,0.5,29.1257,2.0,0.8774999999999997
2,0.3,0.25,3,50,0.05,0.5,12.6797,2.3,1.1774999999999998
2,0.3,0.25,3,100,0.05,0.5,27.7107,2.3,1.1774999999999998
2,0.3,0.25,4,50,0.05,0.5,15.6457,1.3,0.17749999999999977
2,0.3,0.25,4,100,0.05,0.5,29.7517,2.0,0.8774999999999997
2,0.3,0.1,2,50,0.05,0.5,13.3907,1.9,0.7774999999999996
2,0.3,0.1,2,100,0.05,0.5,26.9794,2.5,1.3775
2,0.3,0.1,3,50,0.05,0.5,15.1711,1.6,0.4774999999999998
2,0.3,0.1,3,100,0.05,0.5,24.1478,1.3,0.17749999999999977
2,0.3,0.1,4,50,0.05,0.5,14.9407,1.9,0.7774999999999996
2,0.3,0.1,4,100,0.05,0.5,26.8137,2.7,1.5774999999999992
2,0.3,0.05,2,50,0.05,0.5,13.9497,1.9,0.7774999999999996
2,0.3,0.05,2,100,0.05,0.5,27.9747,1.9,0.7774999999999996
2,0.3,0.05,3,50,0.05,0.5,13.2057,1.3,0.17749999999999977
2,0.3,0.05,3,100,0.05,0.5,30.4408,0.8,0.3225
2,0.3,0.05,4,50,0.05,0.5,13.6187,1.3,0.17749999999999977
2,0.3,0.05,4,100,0.05,0.5,27.1597,1.9,0.7774999999999996
2,0.3,0.01,2,50,0.05,0.5,11.3487,2.1,0.9774999999999996
2,0.3,0.01,2,100,0.05,0.5,28.1988,2.5,1.3775
2,0.3,0.01,3,50,0.05,0.5,15.0527,1.4,0.27749999999999986
