N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
1000,50,0.1,0.0001,0.0158,1.0,0.12250000000000005
1000,50,0.05,0.1,0.0192,0.9,0.22250000000000003
1000,50,0.05,0.05,0.0287,2.5,1.3775
1000,50,0.05,0.01,0.0167,2.3,1.1774999999999998
1000,50,0.05,0.0001,0.0135,1.5,0.37749999999999995
1000,50,0.01,0.1,0.0344,2.4,1.2774999999999999
1000,50,0.01,0.05,0.0272,2.4,1.2774999999999999
1000,50,0.01,0.01,0.0145,2.5,1.3775
1000,50,0.01,0.0001,0.0179,1.6,0.47750000000000004
1000,50,0.0001,0.1,3.9183,1.4791,0.35660000000000003
1000,50,0.0001,0.05,2.9377,-73387842866.4391,73387842867.5616
1000,50,0.0001,0.01,1.616,1.9,0.7774999999999999
1000,50,0.0001,0.0001,0.0171,2.4,1.2774999999999999
1000,100,0.1,0.1,0.0572,2.8,1.6774999999999998
1000,100,0.1,0.05,0.0343,2.4,1.2774999999999999
1000,100,0.1,0.01,0.0338,2.8,1.6774999999999998
1000,100,0.1,0.0001,0.032,1.2,0.0774999999999999
1000,100,0.05,0.1,0.0342,2.3,1.1774999999999998
1000,100,0.05,0.05,0.0328,1.0,0.12250000000000005
1000,100,0.05,0.01,0.0344,2.6,1.4775
1000,100,0.05,0.0001,0.0333,2.7,1.5775000000000001
1000,100,0.01,0.1,0.053,2.4,1.2774999999999999
1000,100,0.01,0.05,0.0534,1.3,0.1775
1000,100,0.01,0.01,0.0321,1.5,0.37749999999999995
1000,100,0.01,0.0001,0.0325,2.0,0.8775
1000,100,0.0001,0.1,4.1319,2.2,1.0775000000000001
1000,100,0.0001,0.05,2.8888,-14184.9631,14186.0856
1000,100,0.0001,0.01,1.6011,2.0,0.8775
1000,100,0.0001,0.0001,0.0213,1.1,0.022499999999999964
1000,150,0.1,0.1,0.0288,1.3,0.1775
1000,150,0.1,0.05,0.0248,1.4,0.27749999999999986
1000,150,0.1,0.01,0.0284,1.6,0.47750000000000004
1000,150,0.1,0.0001,0.0289,1.7,0.5774999999999999
1000,150,0.05,0.1,0.0274,1.2,0.0774999999999999
1000,150,0.05,0.05,0.0253,1.0,0.12250000000000005
