N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1536,1.0247,0.024699999999999944,0.0643,0.9357
100,0.1,50,0.05,0.1561,-1.0224,0.022399999999999975,1.0147,0.014699999999999935
100,0.1,50,0.01,0.21,1.0002,0.00019999999999997797,-0.0001,0.9999
100,0.1,50,0.0001,0.2112,1.0,0.0,-0.0,1.0
100,0.1,100,0.1,0.2963,-1.0191,0.019099999999999895,1.0229,0.02289999999999992
100,0.1,100,0.05,0.3032,0.0003,0.9997,-1.0063,0.006299999999999972
100,0.1,100,0.01,0.4061,1.0003,0.00029999999999996696,-1.0003,0.00029999999999996696
100,0.1,100,0.0001,0.4255,-1.0,0.0,1.0,0.0
100,0.1,150,0.1,0.4451,1.0591,0.05909999999999993,-1.019,0.018999999999999906
100,0.1,150,0.05,0.4208,1.0098,0.009800000000000031,-0.0023,0.9977
100,0.1,150,0.01,0.56,-0.0,1.0,1.0005,0.0004999999999999449
100,0.1,150,0.0001,0.6354,1.0,0.0,-1.0,0.0
100,0.1,200,0.1,0.5809,-1.1111,0.11109999999999998,1.0172,0.017200000000000104
100,0.1,200,0.05,0.6271,-1.0166,0.016599999999999948,1.0179,0.017900000000000027
100,0.1,200,0.01,0.7276,0.0,1.0,1.0002,0.00019999999999997797
100,0.1,200,0.0001,0.8702,-1.0,0.0,1.0,0.0
100,0.2,50,0.1,0.135,1.0438,0.04380000000000006,-0.9957,0.0042999999999999705
100,0.2,50,0.05,0.1609,-1.0112,0.011200000000000099,1.0096,0.009600000000000053
100,0.2,50,0.01,0.1766,1.0007,0.0006999999999999229,-1.0003,0.00029999999999996696
100,0.2,50,0.0001,0.2482,-1.0,0.0,1.0,0.0
100,0.2,100,0.1,0.2629,-1.0198,0.01980000000000004,-0.015,0.985
100,0.2,100,0.05,0.3283,-1.0074,0.007400000000000073,1.0166,0.016599999999999948
100,0.2,100,0.01,0.3757,-0.0,1.0,-1.0003,0.00029999999999996696
100,0.2,100,0.0001,0.4459,-1.0,0.0,-0.0,1.0
100,0.2,150,0.1,0.4517,1.02,0.020000000000000018,-1.0224,0.022399999999999975
100,0.2,150,0.05,0.4989,-1.0147,0.014699999999999935,1.0167,0.016699999999999937
100,0.2,150,0.01,0.5844,-0.0,1.0,1.0004,0.00039999999999995595
100,0.2,150,0.0001,0.7163,-1.0,0.0,1.0,0.0
100,0.2,200,0.1,0.6205,0.0214,0.9786,1.0243,0.02429999999999999
100,0.2,200,0.05,0.5908,1.0061,0.006099999999999994,-1.0057,0.005700000000000038
100,0.2,200,0.01,0.7649,1.0003,0.00029999999999996696,-0.0,1.0
100,0.2,200,0.0001,0.9112,1.0,0.0,-1.0,0.0
100,0.25,50,0.1,0.148,-1.0269,0.026899999999999924,1.0412,0.0411999999999999
100,0.25,50,0.05,0.1716,0.0208,0.9792,-1.01,0.010000000000000009
100,0.25,50,0.01,0.1904,0.0,1.0,1.0006,0.0005999999999999339
100,0.25,50,0.0001,0.2347,-1.0,0.0,1.0,0.0
100,0.25,100,0.1,0.3597,0.0024,0.9976,1.0961,0.09610000000000007
100,0.25,100,0.05,0.3079,-1.0114,0.011400000000000077,-0.001,0.999
100,0.25,100,0.01,0.3428,-1.0004,0.00039999999999995595,-0.0,1.0
100,0.25,100,0.0001,0.4851,1.0,0.0,-1.0,0.0
100,0.25,150,0.1,0.4335,1.0227,0.022699999999999942,-1.0198,0.01980000000000004
100,0.25,150,0.05,0.5247,-1.0201,0.020100000000000007,1.0102,0.010199999999999987
100,0.25,150,0.01,0.5517,-0.0,1.0,-1.0003,0.00029999999999996696
100,0.25,150,0.0001,0.679,1.0,0.0,-1.0,0.0
100,0.25,200,0.1,0.5908,1.0249,0.024899999999999922,0.0177,0.9823
100,0.25,200,0.05,0.6848,-1.0082,0.008199999999999985,1.0087,0.00869999999999993
100,0.25,200,0.01,0.7432,-0.0,1.0,1.0003,0.00029999999999996696
100,0.25,200,0.0001,0.8451,1.0,0.0,-1.0,0.0
100,0.5,50,0.1,0.1864,1.0166,0.016599999999999948,-1.0641,0.06410000000000005
100,0.5,50,0.05,0.1613,0.0003,0.9997,-1.0093,0.009300000000000086
100,0.5,50,0.01,0.1867,-0.0,1.0,1.0005,0.0004999999999999449
100,0.5,50,0.0001,0.2294,1.0,0.0,-1.0,0.0
100,0.5,100,0.1,0.2772,1.0174,0.017400000000000082,-1.025,0.02499999999999991
100,0.5,100,0.05,0.3309,0.0003,0.9997,-1.0158,0.015800000000000036
100,0.5,100,0.01,0.3343,-1.0008,0.0007999999999999119,1.0002,0.00019999999999997797
100,0.5,100,0.0001,0.4015,-1.0,0.0,1.0,0.0
100,0.5,150,0.1,0.4642,1.0204,0.020399999999999974,-1.0271,0.027099999999999902
100,0.5,150,0.05,0.4656,-1.0228,0.02279999999999993,-0.0008,0.9992
100,0.5,150,0.01,0.579,-0.0,1.0,1.0002,0.00019999999999997797
100,0.5,150,0.0001,0.686,-1.0,0.0,1.0,0.0
100,0.5,200,0.1,0.5573,-0.0029,0.9971,1.056,0.05600000000000005
100,0.5,200,0.05,0.6205,1.0045,0.0044999999999999485,-0.001,0.999
100,0.5,200,0.01,0.7473,1.0002,0.00019999999999997797,-0.0,1.0
100,0.5,200,0.0001,0.9265,-1.0,0.0,1.0,0.0
100,1.0,50,0.1,0.1315,-1.0208,0.02079999999999993,-0.0076,0.9924
