N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.136,-0.0338,1.0262,1.1406,0.04059999999999997
100,0.1,50,0.05,0.1423,0.701,0.39900000000000013,-1.0787,0.01869999999999994
100,0.1,50,0.01,0.1989,1.1009,0.0008999999999999009,-0.0357,1.0243
100,0.1,50,0.0001,0.2249,1.0976,0.0024000000000001798,-0.0358,1.0242
100,0.1,100,0.1,0.2498,1.1718,0.07179999999999986,-1.1065,0.046499999999999986
100,0.1,100,0.05,0.3369,-1.0676,0.007600000000000051,1.1105,0.010499999999999954
100,0.1,100,0.01,0.3345,-0.0357,1.0243,1.0978,0.0021999999999999797
100,0.1,100,0.0001,0.4036,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.1,150,0.1,0.508,1.1904,0.09039999999999981,-1.1656,0.10559999999999992
100,0.1,150,0.05,0.4833,-0.0358,1.0242,1.1028,0.0027999999999999137
100,0.1,150,0.01,0.5594,-0.0357,1.0243,1.0978,0.0021999999999999797
100,0.1,150,0.0001,0.7161,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.1,200,0.1,0.5603,1.1161,0.016100000000000003,-0.0307,1.0293
100,0.1,200,0.05,0.6183,-0.0358,1.0242,1.1387,0.03869999999999996
100,0.1,200,0.01,0.7865,-0.0357,1.0243,1.0978,0.0021999999999999797
100,0.1,200,0.0001,0.8979,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,50,0.1,0.1399,-0.1218,0.9382,1.1549,0.05489999999999995
100,0.2,50,0.05,0.1508,-0.037,1.0230000000000001,1.1087,0.00869999999999993
100,0.2,50,0.01,0.1725,-1.0621,0.0020999999999999908,-0.0355,1.0245
100,0.2,50,0.0001,0.2161,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.2,100,0.1,0.3071,1.2017,0.1016999999999999,-0.641,0.41900000000000004
100,0.2,100,0.05,0.3234,-1.0713,0.011299999999999866,1.1191,0.019099999999999895
100,0.2,100,0.01,0.3714,-0.0357,1.0243,-1.0621,0.0020999999999999908
100,0.2,100,0.0001,0.4781,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.2,150,0.1,0.4121,1.1551,0.05509999999999993,-1.1515,0.09149999999999991
100,0.2,150,0.05,0.5273,-0.0359,1.0241,1.1027,0.0026999999999999247
100,0.2,150,0.01,0.5677,-0.0357,1.0243,-1.0622,0.0021999999999999797
100,0.2,150,0.0001,0.684,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.2,200,0.1,0.5807,-0.0599,1.0001,-1.0979,0.037900000000000045
100,0.2,200,0.05,0.6516,-0.0358,1.0242,-1.0697,0.009700000000000042
100,0.2,200,0.01,0.7763,-0.0357,1.0243,-1.0622,0.0021999999999999797
100,0.2,200,0.0001,0.8913,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.25,50,0.1,0.1503,1.2025,0.10249999999999981,-1.1134,0.05339999999999989
100,0.25,50,0.05,0.1913,1.1045,0.0044999999999999485,-1.0922,0.032200000000000006
100,0.25,50,0.01,0.1711,1.0996,0.000400000000000178,-0.0357,1.0243
