N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.05,3,100,0.05,0.5,42.074,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.5,0.05,4,50,0.05,0.5,14.0904,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.5,0.05,4,100,0.05,0.5,28.5617,0.9,0.1999999999999975,-0.9999999999999991,0.06000000000000094
2,0.5,0.01,2,50,0.05,0.5,16.3817,-1.1,0.03999999999999915,0.7000000000000024,0.3999999999999977
2,0.5,0.01,2,100,0.05,0.5,30.5082,-1.1,0.03999999999999915,-1.1999999999999993,0.13999999999999924
2,0.5,0.01,3,50,0.05,0.5,18.7141,-1.0,0.06000000000000094,-1.3999999999999995,0.3399999999999994
2,0.5,0.01,3,100,0.05,0.5,36.2517,-1.1,0.03999999999999915,-1.2999999999999994,0.23999999999999932
2,0.5,0.01,4,50,0.05,0.5,10.9147,1.1,2.6645352591003757e-15,0.30000000000000204,0.799999999999998
2,0.5,0.01,4,100,0.05,0.5,24.2737,-1.1,0.03999999999999915,-1.3999999999999995,0.3399999999999994
2,0.3,0.5,2,50,0.05,0.5,13.5617,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.3,0.5,2,100,0.05,0.5,36.3097,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.3,0.5,3,50,0.05,0.5,21.4307,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.5,3,100,0.05,0.5,37.9267,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.5,4,50,0.05,0.5,26.0076,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.5,4,100,0.05,0.5,43.5757,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.25,2,50,0.05,0.5,18.5772,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.3,0.25,2,100,0.05,0.5,35.4811,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.25,3,50,0.05,0.5,16.7547,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.25,3,100,0.05,0.5,37.0537,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.3,0.25,4,50,0.05,0.5,16.6748,1.0,0.09999999999999742,-1.9,0.8399999999999999
2,0.3,0.25,4,100,0.05,0.5,42.2837,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.1,2,50,0.05,0.5,18.2797,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.3,0.1,2,100,0.05,0.5,35.1096,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.1,3,50,0.05,0.5,21.8067,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.1,3,100,0.05,0.5,40.4567,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.3,0.1,4,50,0.05,0.5,23.1237,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.3,0.1,4,100,0.05,0.5,45.2524,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.3,0.05,2,50,0.05,0.5,14.403,-1.2,0.13999999999999924,-1.1999999999999993,0.13999999999999924
2,0.3,0.05,2,100,0.05,0.5,30.7807,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.3,0.05,3,50,0.05,0.5,20.1387,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.3,0.05,3,100,0.05,0.5,37.1307,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.3,0.05,4,50,0.05,0.5,22.5907,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.3,0.05,4,100,0.05,0.5,53.806,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.3,0.01,2,50,0.05,0.5,12.5965,0.7,0.3999999999999977,-1.0999999999999992,0.03999999999999915
2,0.3,0.01,2,100,0.05,0.5,25.5946,-1.3,0.23999999999999932,0.9000000000000026,0.1999999999999975
2,0.3,0.01,3,50,0.05,0.5,16.2352,-1.1,0.03999999999999915,0.7000000000000024,0.3999999999999977
2,0.3,0.01,3,100,0.05,0.5,31.7462,-1.1,0.03999999999999915,0.7000000000000024,0.3999999999999977
2,0.3,0.01,4,50,0.05,0.5,19.9617,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.3,0.01,4,100,0.05,0.5,36.0417,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.1,0.5,2,50,0.05,0.5,16.0047,-1.2,0.13999999999999924,0.8000000000000025,0.2999999999999976
2,0.1,0.5,2,100,0.05,0.5,27.8527,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
