N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
2,0.1,0.25,3,100,0.05,0.5,26.9817,2.1,0.9774999999999996
2,0.1,0.25,4,50,0.05,0.5,14.1848,2.5,1.3775
2,0.1,0.25,4,100,0.05,0.5,25.5818,2.1,0.9774999999999996
2,0.1,0.1,2,50,0.05,0.5,12.0876,0.9,0.22250000000000003
2,0.1,0.1,2,100,0.05,0.5,21.8907,2.6,1.4774999999999996
2,0.1,0.1,3,50,0.05,0.5,13.1135,2.4,1.2774999999999994
2,0.1,0.1,3,100,0.05,0.5,24.71,1.2,0.0774999999999999
2,0.1,0.1,4,50,0.05,0.5,12.3767,0.8,0.3225
2,0.1,0.1,4,100,0.05,0.5,24.5867,2.3,1.1774999999999998
2,0.1,0.05,2,50,0.05,0.5,14.3777,2.8,1.6774999999999998
2,0.1,0.05,2,100,0.05,0.5,24.6427,1.1,0.022499999999999964
2,0.1,0.05,3,50,0.05,0.5,11.5227,2.2,1.0774999999999997
2,0.1,0.05,3,100,0.05,0.5,21.4497,2.6,1.4774999999999996
2,0.1,0.05,4,50,0.05,0.5,13.4927,2.5,1.3775
2,0.1,0.05,4,100,0.05,0.5,28.0407,1.1,0.022499999999999964
2,0.1,0.01,2,50,0.05,0.5,11.7488,1.1,0.022499999999999964
2,0.1,0.01,2,100,0.05,0.5,27.9417,2.0,0.8774999999999997
2,0.1,0.01,3,50,0.05,0.5,13.1177,1.0,0.12250000000000005
2,0.1,0.01,3,100,0.05,0.5,32.8877,2.0,0.8774999999999997
2,0.1,0.01,4,50,0.05,0.5,14.3377,1.0,0.12250000000000005
2,0.1,0.01,4,100,0.05,0.5,29.7147,1.1,0.022499999999999964
3,0.5,0.5,2,50,0.05,0.5,38.8807,1.8,0.6774999999999998
3,0.5,0.5,2,100,0.05,0.5,72.3197,2.2,1.0774999999999997
3,0.5,0.5,3,50,0.05,0.5,30.1657,1.7,0.5774999999999997
3,0.5,0.5,3,100,0.05,0.5,77.0597,2.7,1.5774999999999992
3,0.5,0.5,4,50,0.05,0.5,37.7747,1.3,0.17749999999999977
3,0.5,0.5,4,100,0.05,0.5,86.6308,2.1,0.9774999999999996
3,0.5,0.25,2,50,0.05,0.5,31.2166,1.0,0.12250000000000005
3,0.5,0.25,2,100,0.05,0.5,70.3357,2.3,1.1774999999999998
3,0.5,0.25,3,50,0.05,0.5,44.9627,1.9,0.7774999999999996
3,0.5,0.25,3,100,0.05,0.5,69.0967,1.6,0.4774999999999998
3,0.5,0.25,4,50,0.05,0.5,32.4936,2.7,1.5774999999999992
3,0.5,0.25,4,100,0.05,0.5,63.5297,1.3,0.17749999999999977
3,0.5,0.1,2,50,0.05,0.5,36.0286,2.0,0.8774999999999997
