N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,27.2632,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,2,100,0.05,0.5,54.2686,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.5,3,50,0.05,0.5,28.6297,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,100,0.05,0.5,40.5587,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,4,50,0.05,0.5,12.9177,1.0,2.6645352591003757e-15,-1.6999999999999997,0.6999999999999997
2,0.5,0.5,4,100,0.05,0.5,32.6017,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,2,50,0.05,0.5,28.4457,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.25,2,100,0.05,0.5,51.6709,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,3,50,0.05,0.5,24.5493,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.25,3,100,0.05,0.5,50.8076,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,4,50,0.05,0.5,14.2238,1.0,2.6645352591003757e-15,-1.1999999999999993,0.1999999999999993
2,0.5,0.25,4,100,0.05,0.5,28.7486,0.9,0.09999999999999742,-1.0999999999999992,0.0999999999999992
2,0.5,0.1,2,50,0.05,0.5,21.0687,-1.0,8.881784197001252e-16,-1.0999999999999992,0.0999999999999992
2,0.5,0.1,2,100,0.05,0.5,38.2727,-1.2,0.1999999999999993,0.5000000000000022,0.4999999999999978
2,0.5,0.1,3,50,0.05,0.5,24.3764,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.5,0.1,3,100,0.05,0.5,36.6068,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,4,50,0.05,0.5,13.4317,1.0,2.6645352591003757e-15,0.8000000000000025,0.1999999999999975
2,0.5,0.1,4,100,0.05,0.5,28.1827,-1.6,0.5999999999999996,0.8000000000000025,0.1999999999999975
2,0.5,0.05,2,50,0.05,0.5,16.3377,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.05,2,100,0.05,0.5,29.6187,-1.1,0.0999999999999992,0.20000000000000195,0.799999999999998
2,0.5,0.05,3,50,0.05,0.5,15.4067,-1.2,0.1999999999999993,0.6000000000000023,0.3999999999999977
2,0.5,0.05,3,100,0.05,0.5,36.9327,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.05,4,50,0.05,0.5,12.1227,-0.5,0.5000000000000013,-1.9,0.8999999999999999
2,0.5,0.05,4,100,0.05,0.5,24.0307,-0.9,0.10000000000000098,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,2,50,0.05,0.5,16.0807,-0.6,0.40000000000000124,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,2,100,0.05,0.5,25.2657,-1.2,0.1999999999999993,-0.899999999999999,0.10000000000000098
2,0.5,0.01,3,50,0.05,0.5,16.1037,-0.4,0.6000000000000014,-1.1999999999999993,0.1999999999999993
2,0.5,0.01,3,100,0.05,0.5,29.7507,-1.1,0.0999999999999992,0.20000000000000195,0.799999999999998
2,0.5,0.01,4,50,0.05,0.5,11.9997,0.5,0.4999999999999978,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,4,100,0.05,0.5,26.5107,-1.3,0.2999999999999994,-0.5999999999999988,0.40000000000000124
2,0.3,0.5,2,50,0.05,0.5,19.2317,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
2,0.3,0.5,2,100,0.05,0.5,32.2687,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.5,3,50,0.05,0.5,21.8387,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.5,3,100,0.05,0.5,45.2647,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.5,4,50,0.05,0.5,28.4107,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.5,4,100,0.05,0.5,61.3307,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.25,2,50,0.05,0.5,14.1687,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.25,2,100,0.05,0.5,31.9077,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,3,50,0.05,0.5,18.8017,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.25,3,100,0.05,0.5,34.3047,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,4,50,0.05,0.5,21.9597,-1.1,0.0999999999999992,-1.6999999999999997,0.6999999999999997
2,0.3,0.25,4,100,0.05,0.5,51.8347,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.1,2,50,0.05,0.5,12.1532,-1.1,0.0999999999999992,-0.7999999999999989,0.20000000000000107
2,0.3,0.1,2,100,0.05,0.5,24.9092,-1.2,0.1999999999999993,0.7000000000000024,0.2999999999999976
2,0.3,0.1,3,50,0.05,0.5,14.2257,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.1,3,100,0.05,0.5,35.4837,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.1,4,50,0.05,0.5,21.3877,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.3,0.1,4,100,0.05,0.5,43.2247,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.05,2,50,0.05,0.5,12.7767,-1.2,0.1999999999999993,0.6000000000000023,0.3999999999999977
2,0.3,0.05,2,100,0.05,0.5,26.4167,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.05,3,50,0.05,0.5,14.6917,-1.2,0.1999999999999993,0.8000000000000025,0.1999999999999975
2,0.3,0.05,3,100,0.05,0.5,31.5197,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
2,0.3,0.05,4,50,0.05,0.5,17.8177,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.3,0.05,4,100,0.05,0.5,36.2637,-1.0,8.881784197001252e-16,-1.0999999999999992,0.0999999999999992
2,0.3,0.01,2,50,0.05,0.5,12.5847,-0.6,0.40000000000000124,-1.3999999999999995,0.39999999999999947
2,0.3,0.01,2,100,0.05,0.5,26.6657,-1.1,0.0999999999999992,1.7763568394002505e-15,0.9999999999999982
2,0.3,0.01,3,50,0.05,0.5,16.2686,-0.4,0.6000000000000014,-1.9,0.8999999999999999
2,0.3,0.01,3,100,0.05,0.5,25.0697,0.4,0.5999999999999979,-1.3999999999999995,0.39999999999999947
