N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1437,-0.004,0.996,1.0174,0.017400000000000082
100,0.1,50,0.05,0.1408,0.0022,0.9978,1.0041,0.0040999999999999925
100,0.1,50,0.01,0.1891,-1.0002,0.00019999999999997797,-0.0003,0.9997
100,0.1,50,0.0001,0.208,1.0,0.0,-1.0,0.0
100,0.1,100,0.1,0.3035,1.0174,0.017400000000000082,-1.0233,0.0233000000000001
100,0.1,100,0.05,0.3052,0.0085,0.9915,-1.0115,0.011500000000000066
100,0.1,100,0.01,0.3894,0.0,1.0,1.0003,0.00029999999999996696
100,0.1,100,0.0001,0.4166,-1.0,0.0,1.0,0.0
100,0.1,150,0.1,0.4171,1.0345,0.034499999999999975,-0.0026,0.9974
100,0.1,150,0.05,0.4245,0.0003,0.9997,-1.0154,0.01540000000000008
100,0.1,150,0.01,0.543,1.0002,0.00019999999999997797,-0.0,1.0
100,0.1,150,0.0001,0.7117,1.0,0.0,-1.0,0.0
100,0.1,200,0.1,0.5781,-1.0423,0.042300000000000004,-0.0027,0.9973
100,0.1,200,0.05,0.6005,-1.0091,0.009100000000000108,0.0009,0.9991
100,0.1,200,0.01,0.7419,0.0,1.0,-1.0002,0.00019999999999997797
100,0.1,200,0.0001,0.8644,-1.0,0.0,1.0,0.0
100,0.2,50,0.1,0.1264,1.0504,0.0504,-0.0203,0.9797
100,0.2,50,0.05,0.1373,-1.0301,0.030100000000000016,1.0114,0.011400000000000077
100,0.2,50,0.01,0.1744,1.0002,0.00019999999999997797,-1.0003,0.00029999999999996696
100,0.2,50,0.0001,0.2386,1.0,0.0,-1.0,0.0
100,0.2,100,0.1,0.2494,0.5572,0.44279999999999997,-0.0046,0.9954
100,0.2,100,0.05,0.2887,-1.0187,0.01869999999999994,1.0111,0.01110000000000011
100,0.2,100,0.01,0.3315,-0.0,1.0,-1.0007,0.0006999999999999229
100,0.2,100,0.0001,0.4428,-1.0,0.0,1.0,0.0
100,0.2,150,0.1,0.3829,-1.0246,0.024599999999999955,1.0536,0.05360000000000009
