N_iter,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min
100,50,0.1,0.349,2.639,1.5164999999999997
100,50,0.05,0.3679,2.9917,1.8691999999999998
100,50,0.01,0.3713,2.7808,1.6583
100,50,0.0001,0.3589,2.9975,1.875
100,100,0.1,0.7637,2.6487,1.5261999999999998
100,100,0.05,0.8547,2.6828,1.5602999999999998
100,100,0.01,1.0188,2.6451,1.5225999999999997
100,100,0.0001,0.8172,2.9645,1.842
100,150,0.1,1.1959,2.7868,1.6643
100,150,0.05,1.2293,2.7969,1.6743999999999999
100,150,0.01,1.0119,2.8765,1.754
100,150,0.0001,1.1335,2.7686,1.6461000000000001
100,200,0.1,1.5004,2.8799,1.7574
100,200,0.05,1.3456,2.7616,1.6391
100,200,0.01,1.3997,2.6407,1.5181999999999998
100,200,0.0001,1.3792,2.951,1.8285
500,50,0.1,0.355,2.9504,1.8279
500,50,0.05,0.3915,2.8276,1.7050999999999998
500,50,0.01,0.3312,2.7295,1.6069999999999998
500,50,0.0001,0.296,2.8005,1.678
500,100,0.1,0.64,2.7303,1.6078000000000001
500,100,0.05,0.6271,2.9481,1.8256000000000001
500,100,0.01,0.6915,2.8018,1.6793
500,100,0.0001,0.7586,2.7853,1.6627999999999998
500,150,0.1,1.2618,2.6406,1.5181
500,150,0.05,1.0709,2.7606,1.6381000000000001
500,150,0.01,1.2638,2.6583,1.5358
500,150,0.0001,1.3685,2.7625,1.6400000000000001
500,200,0.1,1.6435,2.7465,1.624
500,200,0.05,1.4678,2.8057,1.6831999999999998
500,200,0.01,1.4347,2.6739,1.5514000000000001
500,200,0.0001,1.4786,2.6253,1.5028000000000001
1000,50,0.1,0.3453,2.831,1.7085
1000,50,0.05,0.4178,2.9406,1.8180999999999998
1000,50,0.01,0.3712,2.9229,1.8003999999999998
1000,50,0.0001,0.3936,2.9717,1.8491999999999997
1000,100,0.1,0.8004,2.9367,1.8142
1000,100,0.05,0.7084,2.8938,1.7713
1000,100,0.01,0.8681,2.8077,1.6852
1000,100,0.0001,0.7706,2.9188,1.7963
1000,150,0.1,1.0753,2.7745,1.6520000000000001
1000,150,0.05,1.1161,2.9637,1.8411999999999997
1000,150,0.01,1.069,2.7169,1.5943999999999998
1000,150,0.0001,1.1232,2.8163,1.6938
1000,200,0.1,1.3868,2.6653,1.5427999999999997
1000,200,0.05,1.5902,2.9937,1.8712
1000,200,0.01,1.4684,2.8977,1.7752
1000,200,0.0001,1.4613,2.9072,1.7847
2000,50,0.1,0.3475,2.7775,1.6549999999999998
2000,50,0.05,0.4079,2.8629,1.7403999999999997
2000,50,0.01,0.397,2.7772,1.6547
2000,50,0.0001,0.3614,2.9499,1.8274
2000,100,0.1,0.7369,2.9629,1.8403999999999998
2000,100,0.05,0.7954,2.7631,1.6406
2000,100,0.01,0.8068,2.6988,1.5762999999999998
2000,100,0.0001,0.7108,2.954,1.8315000000000001
2000,150,0.1,1.049,2.6872,1.5646999999999998
2000,150,0.05,1.0328,2.7216,1.5991
2000,150,0.01,1.0896,2.8783,1.7557999999999998
2000,150,0.0001,1.1157,2.6623,1.5398
2000,200,0.1,1.5192,2.7272,1.6046999999999998
2000,200,0.05,1.546,2.6564,1.5339
2000,200,0.01,1.3987,2.6323,1.5097999999999998
2000,200,0.0001,1.4535,2.9503,1.8277999999999999
