N_iter,Min_dist,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1,0.0142,1.1312,0.13119999999999998,0.7,0.30000000000000004
100,0.1,50,0.1,0.05,0.0106,-1.3125,0.3125,-0.7,0.30000000000000004
100,0.1,50,0.1,0.01,0.0089,-1.7,0.7,-0.4,0.6
100,0.1,50,0.1,0.0001,0.0081,-0.2,0.8,0.5,0.5
100,0.1,50,0.05,0.1,0.0276,0.8539,0.1461,-0.8806,0.11939999999999995
100,0.1,50,0.05,0.05,0.0167,1.1907,0.1907000000000001,-0.2,0.8
100,0.1,50,0.05,0.01,0.0144,-0.6,0.4,1.5954,0.5953999999999999
100,0.1,50,0.05,0.0001,0.0083,-1.1,0.10000000000000009,-1.6,0.6000000000000001
100,0.1,50,0.01,0.1,0.0454,-1.0169,0.016899999999999915,1.0169,0.016899999999999915
100,0.1,50,0.01,0.05,0.0728,-0.9508,0.04920000000000002,0.9484,0.05159999999999998
100,0.1,50,0.01,0.01,0.0417,-0.5,0.5,0.9,0.09999999999999998
100,0.1,50,0.01,0.0001,0.0075,1.6,0.6000000000000001,0.2,0.8
100,0.1,50,0.0001,0.1,0.1013,1.0002,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,50,0.0001,0.05,0.1971,-0.9995,0.0004999999999999449,0.9995,0.0004999999999999449
100,0.1,50,0.0001,0.01,0.5711,1.0054,0.005400000000000071,-0.9195,0.08050000000000002
100,0.1,50,0.0001,0.0001,0.2207,-0.7,0.30000000000000004,-1.0,0.0
100,0.1,100,0.1,0.1,0.0199,-0.3,0.7,1.0,0.0
100,0.1,100,0.1,0.05,0.0209,0.6,0.4,-1.0,0.0
100,0.1,100,0.1,0.01,0.0154,-1.8,0.8,0.3,0.7
100,0.1,100,0.1,0.0001,0.0169,-1.0,0.0,-0.6,0.4
100,0.1,100,0.05,0.1,0.0444,-1.0944,0.09440000000000004,0.8847,0.11529999999999996
100,0.1,100,0.05,0.05,0.0295,1.1,0.10000000000000009,-0.8,0.19999999999999996
100,0.1,100,0.05,0.01,0.0225,0.9,0.09999999999999998,1.2,0.19999999999999996
100,0.1,100,0.05,0.0001,0.0163,0.1,0.9,-1.2,0.19999999999999996
100,0.1,100,0.01,0.1,0.0958,-0.9798,0.020199999999999996,1.0219,0.02190000000000003
100,0.1,100,0.01,0.05,0.1311,0.9484,0.05159999999999998,-0.9532,0.04679999999999995
100,0.1,100,0.01,0.01,0.0799,-0.7,0.30000000000000004,-0.5,0.5
100,0.1,100,0.01,0.0001,0.0141,-0.1,0.9,0.4,0.6
100,0.1,100,0.0001,0.1,0.195,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,100,0.0001,0.05,0.3948,-0.9995,0.0004999999999999449,0.9995,0.0004999999999999449
100,0.1,100,0.0001,0.01,1.1519,-0.9849,0.015100000000000002,-0.591,0.40900000000000003
100,0.1,100,0.0001,0.0001,0.5552,-1.7257,0.7257,1.6403,0.6403000000000001
100,0.1,150,0.1,0.1,0.0312,-0.1,0.9,1.0574,0.057399999999999896
100,0.1,150,0.1,0.05,0.0322,-0.1,0.9,1.1,0.10000000000000009
100,0.1,150,0.1,0.01,0.0255,-0.5,0.5,0.2,0.8
100,0.1,150,0.1,0.0001,0.0222,0.3,0.7,-0.8,0.19999999999999996
100,0.1,150,0.05,0.1,0.0568,0.2,0.8,-0.2,0.8
100,0.1,150,0.05,0.05,0.0412,-1.1825,0.1825000000000001,0.3,0.7
100,0.1,150,0.05,0.01,0.0345,-1.5,0.5,-1.0,0.0
100,0.1,150,0.05,0.0001,0.0213,1.4,0.3999999999999999,-1.8,0.8
100,0.1,150,0.01,0.1,0.1355,0.9747,0.02529999999999999,-0.9747,0.02529999999999999
100,0.1,150,0.01,0.05,0.2091,-1.0402,0.040200000000000014,0.9508,0.04920000000000002
100,0.1,150,0.01,0.01,0.1514,1.1,0.10000000000000009,0.4,0.6
100,0.1,150,0.01,0.0001,0.022,0.7,0.30000000000000004,-1.7,0.7
100,0.1,150,0.0001,0.1,0.2858,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,150,0.0001,0.05,0.5834,-1.0004,0.00039999999999995595,1.0004,0.00039999999999995595
100,0.1,150,0.0001,0.01,1.6787,-1.0026,0.0025999999999999357,-0.8327,0.1673
100,0.1,150,0.0001,0.0001,0.7349,0.5,0.5,-1.6403,0.6403000000000001
100,0.1,200,0.1,0.1,0.0382,1.0,0.0,-0.2,0.8
100,0.1,200,0.1,0.05,0.0424,-1.2656,0.26560000000000006,-0.7,0.30000000000000004
100,0.1,200,0.1,0.01,0.0283,-1.2,0.19999999999999996,-0.0,1.0
100,0.1,200,0.1,0.0001,0.0287,-1.7,0.7,0.3,0.7
100,0.1,200,0.05,0.1,0.0771,-1.1008,0.1008,1.0,0.0
100,0.1,200,0.05,0.05,0.0545,0.4,0.6,-1.1589,0.15890000000000004
100,0.1,200,0.05,0.01,0.0413,-1.6,0.6000000000000001,0.0,1.0
100,0.1,200,0.05,0.0001,0.0283,-1.8,0.8,-1.0,0.0
100,0.1,200,0.01,0.1,0.1993,0.9747,0.02529999999999999,-0.9807,0.019299999999999984
100,0.1,200,0.01,0.05,0.2425,1.0386,0.03859999999999997,-1.0,0.0
100,0.1,200,0.01,0.01,0.1941,1.1892,0.18920000000000003,-0.6,0.4
100,0.1,200,0.01,0.0001,0.0285,-0.9,0.09999999999999998,0.5,0.5
100,0.1,200,0.0001,0.1,0.3961,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,200,0.0001,0.05,0.7592,-0.9995,0.0004999999999999449,0.9995,0.0004999999999999449
100,0.1,200,0.0001,0.01,2.1484,-1.0057,0.005700000000000038,1.0,0.0
100,0.1,200,0.0001,0.0001,1.1011,1.3744,0.37440000000000007,-0.8,0.19999999999999996
100,0.2,50,0.1,0.1,0.0106,0.8,0.19999999999999996,0.2,0.8
100,0.2,50,0.1,0.05,0.0134,1.2677,0.26770000000000005,0.5,0.5
100,0.2,50,0.1,0.01,0.008,-0.2,0.8,-1.6,0.6000000000000001
100,0.2,50,0.1,0.0001,0.0079,1.5,0.5,-1.5,0.5
100,0.2,50,0.05,0.1,0.0219,0.9,0.09999999999999998,-0.8703,0.12970000000000004
100,0.2,50,0.05,0.05,0.0166,0.7,0.30000000000000004,-1.1589,0.15890000000000004
100,0.2,50,0.05,0.01,0.0123,0.4,0.6,1.0,0.0
100,0.2,50,0.05,0.0001,0.0074,-1.2,0.19999999999999996,1.4,0.3999999999999999
100,0.2,50,0.01,0.1,0.0449,-1.0219,0.02190000000000003,1.0219,0.02190000000000003
100,0.2,50,0.01,0.05,0.0691,1.0386,0.03859999999999997,-1.0386,0.03859999999999997
100,0.2,50,0.01,0.01,0.0548,-1.184,0.18399999999999994,1.1827,0.18270000000000008
100,0.2,50,0.01,0.0001,0.0077,-0.6,0.4,-0.8,0.19999999999999996
100,0.2,50,0.0001,0.1,0.0937,-0.9998,0.00019999999999997797,0.9998,0.00019999999999997797
100,0.2,50,0.0001,0.05,0.1946,0.9995,0.0004999999999999449,-0.9995,0.0004999999999999449
100,0.2,50,0.0001,0.01,0.5594,-1.0026,0.0025999999999999357,1.0054,0.005400000000000071
100,0.2,50,0.0001,0.0001,0.321,-1.1915,0.1915,-0.5,0.5
100,0.2,100,0.1,0.1,0.0203,0.0,1.0,0.5,0.5
100,0.2,100,0.1,0.05,0.0259,-1.3125,0.3125,-0.5,0.5
100,0.2,100,0.1,0.01,0.0169,-0.8,0.19999999999999996,1.8,0.8
100,0.2,100,0.1,0.0001,0.0153,1.3,0.30000000000000004,-1.6,0.6000000000000001
100,0.2,100,0.05,0.1,0.0448,-1.0944,0.09440000000000004,0.1,0.9
100,0.2,100,0.05,0.05,0.0303,-1.1894,0.1894,1.1907,0.1907000000000001
100,0.2,100,0.05,0.01,0.0259,-1.5949,0.5949,0.1,0.9
100,0.2,100,0.05,0.0001,0.0162,-1.9,0.8999999999999999,-1.4,0.3999999999999999
100,0.2,100,0.01,0.1,0.079,-0.9936,0.006399999999999961,0.9763,0.023700000000000054
100,0.2,100,0.01,0.05,0.1417,-1.0467,0.046699999999999964,1.0417,0.04170000000000007
100,0.2,100,0.01,0.01,0.0822,0.5,0.5,-0.2,0.8
100,0.2,100,0.01,0.0001,0.0159,-0.3,0.7,0.3,0.7
100,0.2,100,0.0001,0.1,0.2031,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.2,100,0.0001,0.05,0.3877,-1.0004,0.00039999999999995595,1.0004,0.00039999999999995595
100,0.2,100,0.0001,0.01,1.0969,1.0034,0.0034000000000000696,-1.0054,0.005400000000000071
100,0.2,100,0.0001,0.0001,0.3965,-0.7,0.30000000000000004,0.5,0.5
100,0.2,150,0.1,0.1,0.0298,-0.8,0.19999999999999996,0.7,0.30000000000000004
100,0.2,150,0.1,0.05,0.0327,0.4,0.6,1.2656,0.26560000000000006
100,0.2,150,0.1,0.01,0.0226,-0.6,0.4,-1.6,0.6000000000000001
100,0.2,150,0.1,0.0001,0.0199,-1.5,0.5,-0.4,0.6
100,0.2,150,0.05,0.1,0.0599,-0.9,0.09999999999999998,-0.2,0.8
100,0.2,150,0.05,0.05,0.0431,1.1884,0.1883999999999999,-1.1894,0.1894
100,0.2,150,0.05,0.01,0.0344,-1.5809,0.5809,1.5809,0.5809
100,0.2,150,0.05,0.0001,0.0223,-0.2,0.8,0.5,0.5
100,0.2,150,0.01,0.1,0.145,0.9763,0.023700000000000054,-1.0,0.0
100,0.2,150,0.01,0.05,0.1889,-0.9522,0.047799999999999954,1.0388,0.038799999999999946
100,0.2,150,0.01,0.01,0.1299,-0.8,0.19999999999999996,-0.4,0.6
