N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,23.0109,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.5,0.5,2,100,0.05,0.5,43.7877,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,50,0.05,0.5,22.9747,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,100,0.05,0.5,43.8647,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
2,0.5,0.5,4,50,0.05,0.5,12.9977,-1.1,0.0999999999999992,0.9000000000000026,0.09999999999999742
2,0.5,0.5,4,100,0.05,0.5,31.3727,1.0,2.6645352591003757e-15,-1.1999999999999993,0.1999999999999993
2,0.5,0.25,2,50,0.05,0.5,21.7947,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
2,0.5,0.25,2,100,0.05,0.5,38.4697,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.25,3,50,0.05,0.5,23.7055,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.25,3,100,0.05,0.5,40.472,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
2,0.5,0.25,4,50,0.05,0.5,14.0756,1.0,2.6645352591003757e-15,-1.2999999999999994,0.2999999999999994
2,0.5,0.25,4,100,0.05,0.5,23.0608,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.1,2,50,0.05,0.5,13.8037,-1.2,0.1999999999999993,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,2,100,0.05,0.5,31.5337,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,3,50,0.05,0.5,14.6967,0.4,0.5999999999999979,-1.0999999999999992,0.0999999999999992
2,0.5,0.1,3,100,0.05,0.5,39.7017,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,4,50,0.05,0.5,10.2957,-1.0,8.881784197001252e-16,-1.5999999999999996,0.5999999999999996
2,0.5,0.1,4,100,0.05,0.5,24.0917,-1.0,8.881784197001252e-16,-1.3999999999999995,0.39999999999999947
2,0.5,0.05,2,50,0.05,0.5,17.7217,-1.2,0.1999999999999993,0.40000000000000213,0.5999999999999979
2,0.5,0.05,2,100,0.05,0.5,33.1517,-0.9,0.10000000000000098,-1.1999999999999993,0.1999999999999993
2,0.5,0.05,3,50,0.05,0.5,13.7677,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.05,3,100,0.05,0.5,28.3867,-1.2,0.1999999999999993,-0.9999999999999991,8.881784197001252e-16
2,0.5,0.05,4,50,0.05,0.5,12.0417,-1.1,0.0999999999999992,-1.9,0.8999999999999999
2,0.5,0.05,4,100,0.05,0.5,22.7707,-1.9,0.8999999999999999,-1.2999999999999994,0.2999999999999994
2,0.5,0.01,2,50,0.05,0.5,14.6026,-1.1,0.0999999999999992,-0.6999999999999988,0.30000000000000115
2,0.5,0.01,2,100,0.05,0.5,24.9967,-1.3,0.2999999999999994,0.6000000000000023,0.3999999999999977
2,0.5,0.01,3,50,0.05,0.5,13.2327,-1.1,0.0999999999999992,-0.1999999999999984,0.8000000000000016
2,0.5,0.01,3,100,0.05,0.5,29.6057,-1.4,0.39999999999999947,0.5000000000000022,0.4999999999999978
2,0.5,0.01,4,50,0.05,0.5,11.5247,-1.3,0.2999999999999994,-1.5999999999999996,0.5999999999999996
2,0.5,0.01,4,100,0.05,0.5,29.2957,-1.1,0.0999999999999992,0.10000000000000187,0.8999999999999981
2,0.3,0.5,2,50,0.05,0.5,17.3267,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.5,2,100,0.05,0.5,30.2127,0.9,0.09999999999999742,-1.0999999999999992,0.0999999999999992
2,0.3,0.5,3,50,0.05,0.5,19.3906,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.5,3,100,0.05,0.5,42.1637,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.5,4,50,0.05,0.5,24.5567,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.5,4,100,0.05,0.5,48.1757,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.25,2,50,0.05,0.5,13.7017,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.25,2,100,0.05,0.5,32.5147,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.25,3,50,0.05,0.5,19.3707,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,3,100,0.05,0.5,35.5027,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,4,50,0.05,0.5,26.4117,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,4,100,0.05,0.5,49.3957,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.1,2,50,0.05,0.5,13.2347,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.1,2,100,0.05,0.5,27.8807,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
