N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.5,200,0.1,0.5559,-1.0777,0.01770000000000005,1.1276,0.027599999999999847
100,0.5,200,0.05,0.7465,-0.036,1.024,-1.0669,0.006899999999999906
100,0.5,200,0.01,0.7153,-0.0357,1.0243,1.0979,0.0020999999999999908
100,0.5,200,0.0001,0.9136,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,50,0.1,0.1496,-1.0853,0.025299999999999878,-0.0405,1.0195
100,1.0,50,0.05,0.1624,-0.0358,1.0242,-1.0791,0.019099999999999895
100,1.0,50,0.01,0.1908,-1.0621,0.0020999999999999908,-0.0357,1.0243
100,1.0,50,0.0001,0.257,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,100,0.1,0.2838,1.1145,0.014499999999999957,-0.0518,1.0082
100,1.0,100,0.05,0.3194,-0.0358,1.0242,-1.0766,0.016599999999999948
100,1.0,100,0.01,0.4031,-0.0357,1.0243,-1.062,0.0020000000000000018
100,1.0,100,0.0001,0.4401,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,1.0,150,0.1,0.4436,1.1262,0.0262,-1.1281,0.06810000000000005
100,1.0,150,0.05,0.4211,-0.0358,1.0242,-1.0668,0.006799999999999917
100,1.0,150,0.01,0.5492,-0.0357,1.0243,-1.062,0.0020000000000000018
100,1.0,150,0.0001,0.6057,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,200,0.1,0.5894,1.1283,0.028299999999999992,-0.0217,1.0383
100,1.0,200,0.05,0.6191,-1.072,0.01200000000000001,1.1072,0.007199999999999873
100,1.0,200,0.01,0.7274,-0.0357,1.0243,1.0978,0.0021999999999999797
100,1.0,200,0.0001,0.8979,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.1,50,0.1,0.1888,-1.147,0.08699999999999997,1.1159,0.015899999999999803
500,0.1,50,0.05,0.161,-1.0813,0.021299999999999875,-0.0362,1.0238
500,0.1,50,0.01,0.1931,-0.0357,1.0243,-1.0621,0.0020999999999999908
500,0.1,50,0.0001,0.2285,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.1,100,0.1,0.2685,1.1488,0.048799999999999955,-0.0414,1.0186
500,0.1,100,0.05,0.338,-1.1018,0.04179999999999984,-0.0359,1.0241
500,0.1,100,0.01,0.3622,-0.0357,1.0243,-1.0621,0.0020999999999999908
500,0.1,100,0.0001,0.4907,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.1,150,0.1,0.433,1.1254,0.025399999999999867,-1.1077,0.047699999999999854
500,0.1,150,0.05,0.5135,-0.0358,1.0242,-1.0728,0.012799999999999923
500,0.1,150,0.01,0.5514,-0.0357,1.0243,1.098,0.0020000000000000018
500,0.1,150,0.0001,0.6577,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
500,0.1,200,0.1,0.5614,-1.1001,0.040100000000000025,1.1193,0.019299999999999873
500,0.1,200,0.05,0.5856,-1.0672,0.007199999999999873,-0.0358,1.0242
500,0.1,200,0.01,0.7041,-0.0357,1.0243,-1.062,0.0020000000000000018
500,0.1,200,0.0001,0.8947,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.2,50,0.1,0.145,-0.9821,0.07790000000000008,1.1535,0.05349999999999988
500,0.2,50,0.05,0.1507,-0.0361,1.0239,-1.0796,0.01959999999999984
500,0.2,50,0.01,0.2235,-1.0629,0.0028999999999999027,1.0978,0.0021999999999999797
500,0.2,50,0.0001,0.199,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.2,100,0.1,0.2678,1.114,0.014000000000000012,-1.0933,0.033299999999999885
500,0.2,100,0.05,0.2826,-0.0362,1.0238,-1.07,0.010000000000000009
500,0.2,100,0.01,0.3792,-0.0357,1.0243,-1.0621,0.0020999999999999908
500,0.2,100,0.0001,0.4243,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.2,150,0.1,0.4462,1.1251,0.0250999999999999,-1.0834,0.023399999999999865
500,0.2,150,0.05,0.5222,1.1012,0.0011999999999998678,-1.0694,0.009399999999999853
500,0.2,150,0.01,0.5543,-0.0357,1.0243,1.0977,0.0023000000000001908
500,0.2,150,0.0001,0.6689,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.2,200,0.1,0.5897,-1.1615,0.10149999999999992,-0.0381,1.0219
500,0.2,200,0.05,0.6824,-0.0358,1.0242,-1.0696,0.009600000000000053
500,0.2,200,0.01,0.7593,-1.062,0.0020000000000000018,-0.0357,1.0243
500,0.2,200,0.0001,0.9179,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
500,0.25,50,0.1,0.1476,-1.1401,0.08009999999999984,-0.049,1.0110000000000001
500,0.25,50,0.05,0.1667,-1.0666,0.006599999999999939,1.1477,0.047699999999999854
500,0.25,50,0.01,0.1747,-0.0357,1.0243,1.0978,0.0021999999999999797
500,0.25,50,0.0001,0.2429,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.25,100,0.1,0.3124,1.058,0.04200000000000004,-1.1338,0.07379999999999987
500,0.25,100,0.05,0.2806,-0.0358,1.0242,-1.0681,0.008099999999999996
500,0.25,100,0.01,0.42,-0.0357,1.0243,-1.062,0.0020000000000000018
500,0.25,100,0.0001,0.5665,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.25,150,0.1,0.4354,-0.0274,1.0326,1.1307,0.03069999999999995
500,0.25,150,0.05,0.5241,-1.0683,0.008299999999999974,-0.0359,1.0241
500,0.25,150,0.01,0.5488,-0.0357,1.0243,-1.062,0.0020000000000000018
500,0.25,150,0.0001,0.6866,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.25,200,0.1,0.5963,1.1196,0.01959999999999984,-1.0797,0.01970000000000005
500,0.25,200,0.05,0.6484,-1.066,0.006000000000000005,1.1047,0.0046999999999999265
500,0.25,200,0.01,0.7566,-0.0357,1.0243,-1.0621,0.0020999999999999908
500,0.25,200,0.0001,0.8699,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.5,50,0.1,0.134,1.0583,0.04170000000000007,-1.1219,0.061899999999999844
500,0.5,50,0.05,0.2017,-1.0682,0.008199999999999985,-0.0374,1.0226
500,0.5,50,0.01,0.1833,-1.062,0.0020000000000000018,-0.0357,1.0243
500,0.5,50,0.0001,0.2262,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
500,0.5,100,0.1,0.2871,-1.0794,0.019399999999999862,1.1607,0.060699999999999976
500,0.5,100,0.05,0.3288,-1.0707,0.010699999999999932,1.1016,0.0015999999999998238
500,0.5,100,0.01,0.3586,-0.0357,1.0243,-1.062,0.0020000000000000018
500,0.5,100,0.0001,0.4895,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.5,150,0.1,0.4326,1.1731,0.07309999999999994,-0.0325,1.0275
500,0.5,150,0.05,0.4746,-0.0358,1.0242,1.1026,0.0025999999999999357
500,0.5,150,0.01,0.5362,-0.0357,1.0243,-1.062,0.0020000000000000018
500,0.5,150,0.0001,0.6377,1.0976,0.0024000000000001798,-0.0358,1.0242
500,0.5,200,0.1,0.5455,-1.0934,0.033399999999999874,-0.1032,0.9568000000000001
500,0.5,200,0.05,0.6279,1.1087,0.00869999999999993,-1.0987,0.03869999999999996
500,0.5,200,0.01,0.7003,-0.0357,1.0243,-1.062,0.0020000000000000018
500,0.5,200,0.0001,0.881,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,1.0,50,0.1,0.126,1.1719,0.07189999999999985,-0.0859,0.9741000000000001
500,1.0,50,0.05,0.1542,-0.0358,1.0242,-1.0719,0.011900000000000022
500,1.0,50,0.01,0.1635,-0.0357,1.0243,1.0978,0.0021999999999999797
500,1.0,50,0.0001,0.2455,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,1.0,100,0.1,0.2804,1.1121,0.0121,-1.0991,0.03909999999999991
500,1.0,100,0.05,0.3214,-0.0359,1.0241,1.1033,0.0032999999999998586
500,1.0,100,0.01,0.3876,-0.0357,1.0243,1.0981,0.0019000000000000128
500,1.0,100,0.0001,0.4115,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,1.0,150,0.1,0.3821,-1.0858,0.025800000000000045,1.1312,0.031199999999999894
500,1.0,150,0.05,0.4693,-1.1011,0.041099999999999914,1.102,0.0020000000000000018
500,1.0,150,0.01,0.5368,-0.0357,1.0243,1.0986,0.0014000000000000679
500,1.0,150,0.0001,0.6286,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
500,1.0,200,0.1,0.5484,1.158,0.05799999999999983,-1.0917,0.03169999999999984
500,1.0,200,0.05,0.6274,-1.0678,0.007800000000000029,-0.0358,1.0242
500,1.0,200,0.01,0.6833,-0.0357,1.0243,1.0977,0.0023000000000001908
500,1.0,200,0.0001,0.8491,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.1,50,0.1,0.1767,1.1717,0.07169999999999987,-0.0313,1.0287
1000,0.1,50,0.05,0.1557,1.1378,0.037799999999999834,-0.0361,1.0239
1000,0.1,50,0.01,0.1872,-0.0357,1.0243,1.098,0.0020000000000000018
1000,0.1,50,0.0001,0.2128,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.1,100,0.1,0.2716,1.1557,0.05569999999999986,-0.0414,1.0186
1000,0.1,100,0.05,0.3106,-1.0761,0.016100000000000003,-0.0359,1.0241
1000,0.1,100,0.01,0.3446,-0.0357,1.0243,1.0977,0.0023000000000001908
1000,0.1,100,0.0001,0.4532,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.1,150,0.1,0.4029,1.1131,0.01309999999999989,-0.0242,1.0358
1000,0.1,150,0.05,0.4853,1.1108,0.01079999999999992,-1.0697,0.009700000000000042
1000,0.1,150,0.01,0.5224,-0.0357,1.0243,-1.062,0.0020000000000000018
1000,0.1,150,0.0001,0.6655,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.1,200,0.1,0.6119,-0.0329,1.0271000000000001,-1.0907,0.03069999999999995
1000,0.1,200,0.05,0.6734,-0.0292,1.0308000000000002,-1.0657,0.005700000000000038
1000,0.1,200,0.01,0.7396,-0.0357,1.0243,-1.062,0.0020000000000000018
1000,0.1,200,0.0001,0.8545,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
1000,0.2,50,0.1,0.129,1.18,0.07999999999999985,-0.0896,0.9704
1000,0.2,50,0.05,0.1572,-1.0737,0.013700000000000045,1.1402,0.040200000000000014
1000,0.2,50,0.01,0.194,-0.0357,1.0243,-1.0675,0.00749999999999984
