N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,18.1055,-1.1,0.03999999999999915,1.6000000000000032,0.5000000000000031
2,0.5,0.5,2,100,0.05,0.5,42.6426,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.5,0.5,3,50,0.05,0.5,16.4707,-1.2,0.13999999999999924,0.9000000000000026,0.1999999999999975
2,0.5,0.5,3,100,0.05,0.5,40.5137,1.1,2.6645352591003757e-15,-1.1999999999999993,0.13999999999999924
2,0.5,0.5,4,50,0.05,0.5,18.6437,1.1,2.6645352591003757e-15,-1.6999999999999997,0.6399999999999997
2,0.5,0.5,4,100,0.05,0.5,30.0897,-1.2,0.13999999999999924,1.0000000000000027,0.09999999999999742
2,0.5,0.25,2,50,0.05,0.5,21.5077,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.25,2,100,0.05,0.5,35.7948,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.25,3,50,0.05,0.5,13.4386,1.1,2.6645352591003757e-15,0.20000000000000195,0.8999999999999981
2,0.5,0.25,3,100,0.05,0.5,30.9027,1.1,2.6645352591003757e-15,-1.0999999999999992,0.03999999999999915
2,0.5,0.25,4,50,0.05,0.5,15.5546,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.5,0.25,4,100,0.05,0.5,22.4507,-1.1,0.03999999999999915,1.500000000000003,0.400000000000003
2,0.5,0.1,2,50,0.05,0.5,28.5787,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.5,0.1,2,100,0.05,0.5,48.8957,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.1,3,50,0.05,0.5,20.2916,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.1,3,100,0.05,0.5,47.0756,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.5,0.1,4,50,0.05,0.5,14.0287,-1.2,0.13999999999999924,0.8000000000000025,0.2999999999999976
2,0.5,0.1,4,100,0.05,0.5,32.6197,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.05,2,50,0.05,0.5,26.9547,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.05,2,100,0.05,0.5,47.8617,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.05,3,50,0.05,0.5,22.2577,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.5,0.05,3,100,0.05,0.5,47.9307,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.05,4,50,0.05,0.5,13.5607,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.5,0.05,4,100,0.05,0.5,26.6397,1.0,0.09999999999999742,-1.4999999999999996,0.4399999999999995
2,0.5,0.01,2,50,0.05,0.5,17.9357,-1.1,0.03999999999999915,0.7000000000000024,0.3999999999999977
2,0.5,0.01,2,100,0.05,0.5,33.4517,-1.2,0.13999999999999924,0.7000000000000024,0.3999999999999977
2,0.5,0.01,3,50,0.05,0.5,21.4117,-1.2,0.13999999999999924,-1.0999999999999992,0.03999999999999915
2,0.5,0.01,3,100,0.05,0.5,31.9827,0.9,0.1999999999999975,-1.3999999999999995,0.3399999999999994
2,0.5,0.01,4,50,0.05,0.5,14.1677,-1.3,0.23999999999999932,0.9000000000000026,0.1999999999999975
