N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,1.0,50,0.01,0.197,-1.0007,0.0006999999999999229,0.0,1.0
100,1.0,50,0.0001,0.2059,1.0,0.0,-1.0,0.0
100,1.0,100,0.1,0.2591,1.0506,0.05059999999999998,0.0022,0.9978
100,1.0,100,0.05,0.309,1.0149,0.014899999999999913,-1.0065,0.00649999999999995
100,1.0,100,0.01,0.3774,0.0,1.0,-1.0002,0.00019999999999997797
100,1.0,100,0.0001,0.3928,-1.0,0.0,1.0,0.0
100,1.0,150,0.1,0.4663,-1.0475,0.0475000000000001,1.0756,0.07559999999999989
100,1.0,150,0.05,0.4544,0.0004,0.9996,-1.0309,0.030899999999999928
100,1.0,150,0.01,0.5423,0.0,1.0,1.0002,0.00019999999999997797
100,1.0,150,0.0001,0.6122,-1.0,0.0,1.0,0.0
100,1.0,200,0.1,0.5865,-1.0648,0.06479999999999997,1.0219,0.02190000000000003
100,1.0,200,0.05,0.6017,-0.0003,0.9997,1.0088,0.008799999999999919
100,1.0,200,0.01,0.7284,0.0,1.0,-1.0002,0.00019999999999997797
100,1.0,200,0.0001,0.7947,1.0,0.0,-1.0,0.0
500,0.1,50,0.1,0.1346,-0.0241,0.9759,1.0662,0.06620000000000004
500,0.1,50,0.05,0.1696,0.0193,0.9807,1.0307,0.03069999999999995
500,0.1,50,0.01,0.1641,-1.0013,0.0013000000000000789,1.0002,0.00019999999999997797
500,0.1,50,0.0001,0.189,-1.0,0.0,1.0,0.0
500,0.1,100,0.1,0.2849,1.0476,0.04760000000000009,-1.0229,0.02289999999999992
500,0.1,100,0.05,0.3116,1.0048,0.0047999999999999154,-1.0106,0.010599999999999943
500,0.1,100,0.01,0.3289,0.0,1.0,-1.0008,0.0007999999999999119
500,0.1,100,0.0001,0.4485,-1.0,0.0,1.0,0.0
500,0.1,150,0.1,0.4091,1.0181,0.018100000000000005,-0.0062,0.9938
500,0.1,150,0.05,0.4835,-1.0086,0.008599999999999941,1.0065,0.00649999999999995
500,0.1,150,0.01,0.5022,-0.0,1.0,1.0002,0.00019999999999997797
500,0.1,150,0.0001,0.6069,-1.0,0.0,1.0,0.0
500,0.1,200,0.1,0.5192,1.0171,0.017099999999999893,-1.098,0.09800000000000009
500,0.1,200,0.05,0.6294,1.0064,0.006399999999999961,0.0049,0.9951
500,0.1,200,0.01,0.7135,-0.0,1.0,1.0002,0.00019999999999997797
500,0.1,200,0.0001,0.8666,-1.0,0.0,1.0,0.0
500,0.2,50,0.1,0.1344,-1.0471,0.04709999999999992,0.0034,0.9966
500,0.2,50,0.05,0.1562,-1.0078,0.007800000000000029,-0.5636,0.4364
500,0.2,50,0.01,0.153,0.0,1.0,-1.0007,0.0006999999999999229
500,0.2,50,0.0001,0.2062,1.0,0.0,-1.0,0.0
500,0.2,100,0.1,0.303,-1.0184,0.018399999999999972,1.0248,0.024799999999999933
500,0.2,100,0.05,0.2906,1.0212,0.021200000000000108,-1.0374,0.0374000000000001
500,0.2,100,0.01,0.368,-1.0002,0.00019999999999997797,0.0,1.0
500,0.2,100,0.0001,0.4865,1.0,0.0,-1.0,0.0
500,0.2,150,0.1,0.4187,1.0163,0.01629999999999998,-1.0193,0.019300000000000095
500,0.2,150,0.05,0.4974,0.0005,0.9995,1.0092,0.009200000000000097
500,0.2,150,0.01,0.5281,-0.0,1.0,-1.0006,0.0005999999999999339
500,0.2,150,0.0001,0.6452,-1.0,0.0,1.0,0.0
500,0.2,200,0.1,0.5626,1.0165,0.01649999999999996,-0.0881,0.9119
500,0.2,200,0.05,0.6704,-1.0172,0.017200000000000104,1.0094,0.009400000000000075
500,0.2,200,0.01,0.7545,0.0,1.0,-1.0002,0.00019999999999997797
500,0.2,200,0.0001,0.8592,-1.0,0.0,1.0,0.0
500,0.25,50,0.1,0.1645,0.0207,0.9793,-1.0226,0.022599999999999953
500,0.25,50,0.05,0.1504,1.0137,0.013700000000000045,-0.0006,0.9994
500,0.25,50,0.01,0.1817,1.0002,0.00019999999999997797,-1.0002,0.00019999999999997797
500,0.25,50,0.0001,0.2103,-1.0,0.0,1.0,0.0
500,0.25,100,0.1,0.2899,0.601,0.399,-0.961,0.039000000000000035
500,0.25,100,0.05,0.3649,1.0059,0.005900000000000016,-1.0123,0.012299999999999978
500,0.25,100,0.01,0.3576,-1.0007,0.0006999999999999229,1.0017,0.0017000000000000348
500,0.25,100,0.0001,0.3887,1.0,0.0,-1.0,0.0
500,0.25,150,0.1,0.4303,-1.072,0.07200000000000006,1.0479,0.047900000000000054
500,0.25,150,0.05,0.4564,-0.0005,0.9995,1.0059,0.005900000000000016
500,0.25,150,0.01,0.5466,-0.0,1.0,-1.0005,0.0004999999999999449
500,0.25,150,0.0001,0.5918,-1.0,0.0,1.0,0.0
500,0.25,200,0.1,0.5604,1.0166,0.016599999999999948,0.6355,0.36450000000000005
500,0.25,200,0.05,0.6039,0.0003,0.9997,-1.0069,0.006899999999999906
500,0.25,200,0.01,0.6961,-0.0,1.0,-1.0002,0.00019999999999997797
500,0.25,200,0.0001,0.8725,1.0,0.0,-1.0,0.0
500,0.5,50,0.1,0.1339,-0.0032,0.9968,1.0914,0.09139999999999993
500,0.5,50,0.05,0.1544,0.0004,0.9996,1.0112,0.011200000000000099
500,0.5,50,0.01,0.193,-1.0042,0.0041999999999999815,1.0004,0.00039999999999995595
500,0.5,50,0.0001,0.212,1.0,0.0,-1.0,0.0
500,0.5,100,0.1,0.2609,1.018,0.018000000000000016,-0.9974,0.0026000000000000467
500,0.5,100,0.05,0.2891,1.0082,0.008199999999999985,-1.0379,0.037900000000000045
500,0.5,100,0.01,0.3791,-0.0,1.0,-1.0003,0.00029999999999996696
500,0.5,100,0.0001,0.4286,-1.0,0.0,1.0,0.0
500,0.5,150,0.1,0.5755,0.0042,0.9958,-1.0589,0.05889999999999995
500,0.5,150,0.05,0.4536,-0.0003,0.9997,1.0245,0.024499999999999966
500,0.5,150,0.01,0.5482,-0.0,1.0,1.0002,0.00019999999999997797
500,0.5,150,0.0001,0.6227,-1.0,0.0,1.0,0.0
500,0.5,200,0.1,0.5592,1.0665,0.0665,-1.092,0.09200000000000008
500,0.5,200,0.05,0.5778,-0.0003,0.9997,-1.0154,0.01540000000000008
500,0.5,200,0.01,0.7083,0.0,1.0,-1.0002,0.00019999999999997797
500,0.5,200,0.0001,0.8989,1.0,0.0,0.0,1.0
500,1.0,50,0.1,0.1324,0.0672,0.9328,-1.0164,0.01639999999999997
500,1.0,50,0.05,0.1455,1.0063,0.006299999999999972,-1.0436,0.04360000000000008
500,1.0,50,0.01,0.1949,-1.0009,0.0008999999999999009,1.0007,0.0006999999999999229
500,1.0,50,0.0001,0.2392,-1.0,0.0,1.0,0.0
500,1.0,100,0.1,0.2599,1.0184,0.018399999999999972,-1.0285,0.02849999999999997
500,1.0,100,0.05,0.2974,1.0049,0.004899999999999904,-1.0497,0.04970000000000008
500,1.0,100,0.01,0.3738,1.0002,0.00019999999999997797,-1.0003,0.00029999999999996696
500,1.0,100,0.0001,0.4107,1.0,0.0,-1.0,0.0
500,1.0,150,0.1,0.4032,-1.0208,0.02079999999999993,1.0248,0.024799999999999933
500,1.0,150,0.05,0.4819,1.0203,0.020299999999999985,-1.0046,0.0045999999999999375
500,1.0,150,0.01,0.5213,1.0002,0.00019999999999997797,-1.0007,0.0006999999999999229
500,1.0,150,0.0001,0.6549,-1.0,0.0,1.0,0.0
500,1.0,200,0.1,0.544,1.0245,0.024499999999999966,-1.1078,0.1077999999999999
500,1.0,200,0.05,0.5817,-1.0055,0.00550000000000006,1.0046,0.0045999999999999375
500,1.0,200,0.01,0.7243,0.0,1.0,1.0002,0.00019999999999997797
500,1.0,200,0.0001,0.877,-1.0,0.0,1.0,0.0
1000,0.1,50,0.1,0.1315,1.0448,0.04479999999999995,-1.0831,0.08309999999999995
1000,0.1,50,0.05,0.1599,0.0006,0.9994,-1.0089,0.008899999999999908
1000,0.1,50,0.01,0.174,1.0002,0.00019999999999997797,-0.0001,0.9999
1000,0.1,50,0.0001,0.2122,-1.0,0.0,1.0,0.0
1000,0.1,100,0.1,0.308,0.9201,0.07989999999999997,-1.0189,0.018899999999999917
1000,0.1,100,0.05,0.2894,-1.0073,0.007300000000000084,-0.0003,0.9997
1000,0.1,100,0.01,0.3408,-0.0,1.0,-1.0002,0.00019999999999997797
1000,0.1,100,0.0001,0.4488,1.0,0.0,-1.0,0.0
1000,0.1,150,0.1,0.4417,-1.0176,0.01760000000000006,1.0183,0.018299999999999983
1000,0.1,150,0.05,0.5356,1.0062,0.006199999999999983,-0.0004,0.9996
1000,0.1,150,0.01,0.5657,-0.0,1.0,1.0002,0.00019999999999997797
1000,0.1,150,0.0001,0.6851,1.0,0.0,-1.0,0.0
1000,0.1,200,0.1,0.5693,-1.0164,0.01639999999999997,1.1064,0.10640000000000005
1000,0.1,200,0.05,0.6691,-1.0042,0.0041999999999999815,1.0162,0.016199999999999992
1000,0.1,200,0.01,0.7574,-1.0002,0.00019999999999997797,-0.0,1.0
1000,0.1,200,0.0001,0.8417,-1.0,0.0,1.0,0.0
1000,0.2,50,0.1,0.1427,-1.0782,0.07820000000000005,1.1024,0.10240000000000005
1000,0.2,50,0.05,0.1757,-1.0122,0.012199999999999989,0.5471,0.45289999999999997
1000,0.2,50,0.01,0.1916,1.0004,0.00039999999999995595,-1.0003,0.00029999999999996696
