N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,17.8229,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.5,2,100,0.05,0.5,37.7537,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.5,3,50,0.05,0.5,16.2167,-1.2,0.13999999999999924,1.500000000000003,0.400000000000003
2,0.5,0.5,3,100,0.05,0.5,32.2957,1.1,2.6645352591003757e-15,1.500000000000003,0.400000000000003
2,0.5,0.5,4,50,0.05,0.5,15.7118,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.5,4,100,0.05,0.5,31.7086,-1.2,0.13999999999999924,0.9000000000000026,0.1999999999999975
2,0.5,0.25,2,50,0.05,0.5,28.9237,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.25,2,100,0.05,0.5,44.1287,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.25,3,50,0.05,0.5,17.7937,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.5,0.25,3,100,0.05,0.5,35.6697,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.25,4,50,0.05,0.5,14.2947,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.25,4,100,0.05,0.5,27.8167,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.1,2,50,0.05,0.5,29.6207,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.1,2,100,0.05,0.5,53.6347,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.1,3,50,0.05,0.5,20.3777,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.5,0.1,3,100,0.05,0.5,43.2917,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.1,4,50,0.05,0.5,14.3178,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.1,4,100,0.05,0.5,33.2737,0.9,0.1999999999999975,-1.3999999999999995,0.3399999999999994
2,0.5,0.05,2,50,0.05,0.5,22.7877,-1.2,0.13999999999999924,1.7763568394002505e-15,1.0600000000000018
2,0.5,0.05,2,100,0.05,0.5,46.2527,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
