N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1435,-1.081,0.020999999999999908,-0.1028,0.9572
100,0.1,50,0.05,0.1669,1.1045,0.0044999999999999485,-1.0698,0.009800000000000031
100,0.1,50,0.01,0.1805,-0.0357,1.0243,1.1022,0.0021999999999999797
100,0.1,50,0.0001,0.2197,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.1,100,0.1,0.2639,1.1692,0.06919999999999993,-0.0316,1.0284
100,0.1,100,0.05,0.3563,1.1056,0.005599999999999827,-1.0659,0.005900000000000016
100,0.1,100,0.01,0.3527,1.0979,0.0020999999999999908,-0.0357,1.0243
100,0.1,100,0.0001,0.4117,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.1,150,0.1,0.4309,1.1234,0.023399999999999865,-0.0697,0.9903000000000001
100,0.1,150,0.05,0.4277,-1.0755,0.015499999999999847,-0.0358,1.0242
100,0.1,150,0.01,0.5332,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.1,150,0.0001,0.7145,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.1,200,0.1,0.5668,-1.0797,0.01970000000000005,1.1564,0.056400000000000006
100,0.1,200,0.05,0.6264,-1.0676,0.007600000000000051,-0.0357,1.0243
100,0.1,200,0.01,0.7533,-0.0357,1.0243,-1.0622,0.0021999999999999797
100,0.1,200,0.0001,0.919,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.2,50,0.1,0.148,-0.04,1.02,-1.141,0.08099999999999996
100,0.2,50,0.05,0.1383,-1.0813,0.021299999999999875,-0.0345,1.0255
100,0.2,50,0.01,0.1705,-0.0357,1.0243,1.1033,0.0032999999999998586
100,0.2,50,0.0001,0.2359,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,100,0.1,0.2602,-1.1409,0.08089999999999997,1.2061,0.10609999999999986
100,0.2,100,0.05,0.3133,-1.0785,0.01849999999999996,-0.6424,0.4176000000000001
100,0.2,100,0.01,0.4028,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.2,100,0.0001,0.4675,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,150,0.1,0.4291,-0.0369,1.0231000000000001,1.1178,0.017799999999999816
100,0.2,150,0.05,0.5298,-0.0358,1.0242,1.1042,0.0041999999999999815
100,0.2,150,0.01,0.6098,-1.062,0.0020000000000000018,1.0977,0.0023000000000001908
100,0.2,150,0.0001,0.6679,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,200,0.1,0.6089,1.1226,0.022599999999999953,-0.0383,1.0217
100,0.2,200,0.05,0.6591,-0.0358,1.0242,1.1026,0.0025999999999999357
100,0.2,200,0.01,0.6797,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.2,200,0.0001,0.9529,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.25,50,0.1,0.1733,0.0108,1.0708,1.1807,0.0807
100,0.25,50,0.05,0.1608,1.1062,0.006199999999999983,-0.0362,1.0238
100,0.25,50,0.01,0.1928,-0.0357,1.0243,1.0977,0.0023000000000001908
100,0.25,50,0.0001,0.2236,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.25,100,0.1,0.3008,1.1224,0.022399999999999975,-1.1197,0.059699999999999864
100,0.25,100,0.05,0.3384,-1.0786,0.01859999999999995,1.1364,0.03639999999999999
100,0.25,100,0.01,0.3594,1.0977,0.0023000000000001908,-1.062,0.0020000000000000018
100,0.25,100,0.0001,0.4889,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.25,150,0.1,0.4174,-0.1082,0.9518000000000001,1.1321,0.03210000000000002
100,0.25,150,0.05,0.4617,-1.0657,0.005700000000000038,-0.0358,1.0242
100,0.25,150,0.01,0.5274,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.25,150,0.0001,0.6619,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.25,200,0.1,0.5758,-1.0858,0.025800000000000045,1.1942,0.09419999999999984
100,0.25,200,0.05,0.6507,1.102,0.0020000000000000018,-1.1042,0.04420000000000002
100,0.25,200,0.01,0.7781,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.25,200,0.0001,0.9282,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.5,50,0.1,0.1516,-0.0165,1.0435,1.1275,0.027499999999999858
100,0.5,50,0.05,0.1632,-1.0704,0.010399999999999965,1.1011,0.0010999999999998789
100,0.5,50,0.01,0.1976,-1.0624,0.0023999999999999577,1.0979,0.0020999999999999908
100,0.5,50,0.0001,0.2621,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.5,100,0.1,0.3082,-0.068,0.992,-1.1517,0.09169999999999989
100,0.5,100,0.05,0.2965,1.1062,0.006199999999999983,-0.0397,1.0203
100,0.5,100,0.01,0.4113,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.5,100,0.0001,0.4585,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.5,150,0.1,0.4529,-1.121,0.06099999999999994,1.1897,0.08969999999999989
100,0.5,150,0.05,0.4671,1.1077,0.007699999999999818,-1.0701,0.010099999999999998
100,0.5,150,0.01,0.6251,-0.0357,1.0243,1.0977,0.0023000000000001908
100,0.5,150,0.0001,0.6644,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.5,200,0.1,0.6201,-0.0371,1.0229000000000001,-1.1585,0.09850000000000003
100,0.5,200,0.05,0.6689,1.109,0.008999999999999897,-0.0358,1.0242
100,0.5,200,0.01,0.8185,1.0978,0.0021999999999999797,-0.0357,1.0243
100,0.5,200,0.0001,0.9147,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,50,0.1,0.1302,-0.0092,1.0508,-1.0403,0.01970000000000005
