N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
2,0.5,0.5,2,50,0.05,0.5,12.4192,2.3,1.1774999999999998
2,0.5,0.5,2,100,0.05,0.5,30.8837,1.7,0.5774999999999997
2,0.5,0.5,3,50,0.05,0.5,17.591,1.8,0.6774999999999998
2,0.5,0.5,3,100,0.05,0.5,30.9102,1.2,0.0774999999999999
2,0.5,0.5,4,50,0.05,0.5,15.2177,2.2,1.0774999999999997
2,0.5,0.5,4,100,0.05,0.5,31.3038,2.7,1.5774999999999992
2,0.5,0.25,2,50,0.05,0.5,14.2617,1.1,0.022499999999999964
2,0.5,0.25,2,100,0.05,0.5,29.4527,2.5,1.3775
2,0.5,0.25,3,50,0.05,0.5,12.6027,1.4,0.27749999999999986
2,0.5,0.25,3,100,0.05,0.5,27.6587,1.0,0.12250000000000005
2,0.5,0.25,4,50,0.05,0.5,14.7236,2.6,1.4774999999999996
2,0.5,0.25,4,100,0.05,0.5,28.1239,1.0,0.12250000000000005
2,0.5,0.1,2,50,0.05,0.5,16.2417,1.4,0.27749999999999986
2,0.5,0.1,2,100,0.05,0.5,32.4962,1.2,0.0774999999999999
2,0.5,0.1,3,50,0.05,0.5,14.4362,2.0,0.8774999999999997
2,0.5,0.1,3,100,0.05,0.5,26.1448,1.9,0.7774999999999996
2,0.5,0.1,4,50,0.05,0.5,12.3738,2.2,1.0774999999999997
2,0.5,0.1,4,100,0.05,0.5,27.5597,1.6,0.4774999999999998
2,0.5,0.05,2,50,0.05,0.5,11.3067,1.5,0.37749999999999995
2,0.5,0.05,2,100,0.05,0.5,27.4027,2.4,1.2774999999999994
2,0.5,0.05,3,50,0.05,0.5,13.2187,2.5,1.3775
2,0.5,0.05,3,100,0.05,0.5,25.3837,2.4,1.2774999999999994
2,0.5,0.05,4,50,0.05,0.5,10.8647,1.4,0.27749999999999986
2,0.5,0.05,4,100,0.05,0.5,30.3928,2.4,1.2774999999999994
2,0.5,0.01,2,50,0.05,0.5,13.3037,1.1,0.022499999999999964
2,0.5,0.01,2,100,0.05,0.5,27.9197,1.8,0.6774999999999998
2,0.5,0.01,3,50,0.05,0.5,14.7377,1.6,0.4774999999999998
2,0.5,0.01,3,100,0.05,0.5,26.6377,1.3,0.17749999999999977
2,0.5,0.01,4,50,0.05,0.5,11.4547,2.0,0.8774999999999997
2,0.5,0.01,4,100,0.05,0.5,26.4857,1.9,0.7774999999999996
2,0.3,0.5,2,50,0.05,0.5,11.3247,2.5,1.3775
2,0.3,0.5,2,100,0.05,0.5,28.2807,0.8,0.3225
2,0.3,0.5,3,50,0.05,0.5,13.3407,1.6,0.4774999999999998
2,0.3,0.5,3,100,0.05,0.5,28.2098,1.2,0.0774999999999999
2,0.3,0.5,4,50,0.05,0.5,12.9627,2.2,1.0774999999999997
2,0.3,0.5,4,100,0.05,0.5,28.1248,1.8,0.6774999999999998
2,0.3,0.25,2,50,0.05,0.5,15.9767,1.6,0.4774999999999998
2,0.3,0.25,2,100,0.05,0.5,30.5968,1.1,0.022499999999999964
2,0.3,0.25,3,50,0.05,0.5,14.4006,1.4,0.27749999999999986
2,0.3,0.25,3,100,0.05,0.5,28.4478,2.4,1.2774999999999994
2,0.3,0.25,4,50,0.05,0.5,15.2067,2.2,1.0774999999999997
2,0.3,0.25,4,100,0.05,0.5,29.9207,2.0,0.8774999999999997
2,0.3,0.1,2,50,0.05,0.5,13.8317,1.6,0.4774999999999998
2,0.3,0.1,2,100,0.05,0.5,29.7548,1.4,0.27749999999999986
2,0.3,0.1,3,50,0.05,0.5,13.3807,1.3,0.17749999999999977
2,0.3,0.1,3,100,0.05,0.5,28.7827,1.8,0.6774999999999998
2,0.3,0.1,4,50,0.05,0.5,14.5547,1.8,0.6774999999999998
2,0.3,0.1,4,100,0.05,0.5,30.5127,2.2,1.0774999999999997
2,0.3,0.05,2,50,0.05,0.5,9.9067,1.7,0.5774999999999997
2,0.3,0.05,2,100,0.05,0.5,26.0908,2.7,1.5774999999999992
2,0.3,0.05,3,50,0.05,0.5,12.5267,2.5,1.3775
2,0.3,0.05,3,100,0.05,0.5,28.3398,1.2,0.0774999999999999
2,0.3,0.05,4,50,0.05,0.5,13.0827,2.7,1.5774999999999992
2,0.3,0.05,4,100,0.05,0.5,28.6556,2.3,1.1774999999999998
2,0.3,0.01,2,50,0.05,0.5,12.2767,2.7,1.5774999999999992
2,0.3,0.01,2,100,0.05,0.5,24.5308,1.1,0.022499999999999964
2,0.3,0.01,3,50,0.05,0.5,12.6757,1.6,0.4774999999999998
2,0.3,0.01,3,100,0.05,0.5,26.4957,1.6,0.4774999999999998
2,0.3,0.01,4,50,0.05,0.5,12.6518,2.2,1.0774999999999997
2,0.3,0.01,4,100,0.05,0.5,26.0476,0.9,0.22250000000000003
2,0.1,0.5,2,50,0.05,0.5,13.8217,2.7,1.5774999999999992
2,0.1,0.5,2,100,0.05,0.5,24.6107,1.7,0.5774999999999997
2,0.1,0.5,3,50,0.05,0.5,12.9617,1.8,0.6774999999999998
2,0.1,0.5,3,100,0.05,0.5,25.9658,0.9,0.22250000000000003
2,0.1,0.5,4,50,0.05,0.5,12.7517,1.9,0.7774999999999996
