N_iter,Min_dist,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1,0.7288,1.3553,0.25529999999999986,-0.6913,0.3687
100,0.1,50,0.1,0.05,0.0287,1.1226,0.022599999999999953,-1.0629,0.0028999999999999027
100,0.1,50,0.1,0.01,0.0141,-0.6,0.4600000000000001,-0.2,0.8600000000000001
100,0.1,50,0.1,0.0001,0.0112,0.8,0.30000000000000004,0.2,0.9000000000000001
100,0.1,50,0.05,0.1,0.7352,-0.0172,1.0428,1.3553,0.25529999999999986
100,0.1,50,0.05,0.05,0.0352,1.1,0.0,-1.0682,0.008199999999999985
100,0.1,50,0.05,0.01,0.0262,1.1913,0.09129999999999994,-0.3,0.76
100,0.1,50,0.05,0.0001,0.0103,0.0,1.06,0.3,0.8
100,0.1,50,0.01,0.1,0.8558,0.8369,0.2631000000000001,-1.1273,0.06729999999999992
100,0.1,50,0.01,0.05,0.0558,-1.0664,0.006399999999999961,1.0928,0.007200000000000095
100,0.1,50,0.01,0.01,0.0884,1.1282,0.028200000000000003,-1.0243,0.035700000000000065
100,0.1,50,0.01,0.0001,0.0128,0.2,0.9000000000000001,0.4,0.7000000000000001
100,0.1,50,0.0001,0.1,0.8887,-1.2306,0.17059999999999986,-0.9085,0.15150000000000008
100,0.1,50,0.0001,0.05,0.0862,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.1,50,0.0001,0.01,0.2308,1.0973,0.0027000000000001467,-1.0615,0.0015000000000000568
100,0.1,50,0.0001,0.0001,0.7091,-1.0975,0.03749999999999987,1.4603,0.36029999999999984
100,0.1,100,0.1,0.1,1.204,1.1,0.0,-0.9013,0.15870000000000006
100,0.1,100,0.1,0.05,0.052,1.0527,0.04730000000000012,-1.0464,0.013600000000000056
100,0.1,100,0.1,0.01,0.0261,-1.3,0.24,1.2504,0.15039999999999987
100,0.1,100,0.1,0.0001,0.0175,1.4,0.2999999999999998,1.0,0.10000000000000009
100,0.1,100,0.05,0.1,1.6123,1.1,0.0,-1.2419,0.18189999999999995
