N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
100,50,0.1,0.1,0.028,1.2,0.0774999999999999
100,50,0.1,0.05,0.0219,2.9,1.7774999999999999
100,50,0.1,0.01,0.0172,0.8,0.3225
100,50,0.1,0.0001,0.0143,1.8,0.6775
100,50,0.05,0.1,0.0143,1.8,0.6775
100,50,0.05,0.05,0.0146,1.8,0.6775
100,50,0.05,0.01,0.0155,2.8,1.6774999999999998
100,50,0.05,0.0001,0.0148,1.6,0.47750000000000004
100,50,0.01,0.1,0.0195,1.1,0.022499999999999964
100,50,0.01,0.05,0.0166,2.2,1.0775000000000001
100,50,0.01,0.01,0.0147,2.5,1.3775
100,50,0.01,0.0001,0.0146,1.3,0.1775
100,50,0.0001,0.1,0.226,1.8,0.6775
100,50,0.0001,0.05,0.2203,-73387842866.4391,73387842867.5616
100,50,0.0001,0.01,0.1442,2.1,0.9775
100,50,0.0001,0.0001,0.0111,2.6,1.4775
100,100,0.1,0.1,0.0262,1.4,0.27749999999999986
100,100,0.1,0.05,0.027,1.7,0.5774999999999999
100,100,0.1,0.01,0.0226,1.3,0.1775
100,100,0.1,0.0001,0.0262,1.4,0.27749999999999986
100,100,0.05,0.1,0.0222,2.9,1.7774999999999999
100,100,0.05,0.05,0.0276,1.8,0.6775
100,100,0.05,0.01,0.0266,1.4,0.27749999999999986
100,100,0.05,0.0001,0.0263,2.6,1.4775
100,100,0.01,0.1,0.0365,1.7,0.5774999999999999
100,100,0.01,0.05,0.0383,1.8,0.6775
100,100,0.01,0.01,0.0244,1.0,0.12250000000000005
100,100,0.01,0.0001,0.023,1.7,0.5774999999999999
100,100,0.0001,0.1,0.5462,1.5771,0.4545999999999999
100,100,0.0001,0.05,0.4674,2.2,1.0775000000000001
100,100,0.0001,0.01,0.3288,2.1,0.9775
100,100,0.0001,0.0001,0.0226,2.2,1.0775000000000001
100,150,0.1,0.1,0.0379,0.9,0.22250000000000003
100,150,0.1,0.05,0.0345,1.9,0.7774999999999999
100,150,0.1,0.01,0.0407,1.7,0.5774999999999999
100,150,0.1,0.0001,0.0414,2.5,1.3775
100,150,0.05,0.1,0.0381,2.4,1.2774999999999999
100,150,0.05,0.05,0.0386,2.4,1.2774999999999999
100,150,0.05,0.01,0.0363,2.0,0.8775
100,150,0.05,0.0001,0.035,0.9,0.22250000000000003
100,150,0.01,0.1,0.105,-2.1983,3.3208
100,150,0.01,0.05,0.0499,1.7,0.5774999999999999
100,150,0.01,0.01,0.0413,2.2,1.0775000000000001
100,150,0.01,0.0001,0.0408,2.9,1.7774999999999999
100,150,0.0001,0.1,1.1699,1.4626,0.34009999999999985
100,150,0.0001,0.05,0.7243,2.7,1.5775000000000001
100,150,0.0001,0.01,0.4396,2.4,1.2774999999999999
100,150,0.0001,0.0001,0.0276,1.9,0.7774999999999999
100,200,0.1,0.1,0.036,1.3,0.1775
100,200,0.1,0.05,0.0361,1.0,0.12250000000000005
100,200,0.1,0.01,0.0334,2.1,0.9775
100,200,0.1,0.0001,0.0375,1.9,0.7774999999999999
100,200,0.05,0.1,0.033,2.0,0.8775
100,200,0.05,0.05,0.037,2.9,1.7774999999999999
100,200,0.05,0.01,0.0328,1.7,0.5774999999999999
100,200,0.05,0.0001,0.0328,1.3,0.1775
100,200,0.01,0.1,0.0505,2.5,1.3775
100,200,0.01,0.05,0.0536,1.3,0.1775
100,200,0.01,0.01,0.0438,1.3,0.1775
100,200,0.01,0.0001,0.0402,1.0,0.12250000000000005
100,200,0.0001,0.1,1.3513,2.0,0.8775
100,200,0.0001,0.05,1.1216,1.7,0.5774999999999999
100,200,0.0001,0.01,0.8499,2.6,1.4775
100,200,0.0001,0.0001,0.0433,1.0,0.12250000000000005
500,50,0.1,0.1,0.0126,1.8,0.6775
500,50,0.1,0.05,0.0145,2.3,1.1774999999999998
500,50,0.1,0.01,0.0132,0.9,0.22250000000000003
500,50,0.1,0.0001,0.0141,1.0,0.12250000000000005
500,50,0.05,0.1,0.013,2.3,1.1774999999999998
500,50,0.05,0.05,0.0135,2.9,1.7774999999999999
500,50,0.05,0.01,0.0132,2.3,1.1774999999999998
500,50,0.05,0.0001,0.0127,1.0,0.12250000000000005
500,50,0.01,0.1,0.0222,1.7,0.5774999999999999
500,50,0.01,0.05,0.0186,0.9,0.22250000000000003
500,50,0.01,0.01,0.013,1.2,0.0774999999999999
500,50,0.01,0.0001,0.0125,1.6,0.47750000000000004
500,50,0.0001,0.1,0.8213,1.9,0.7774999999999999
500,50,0.0001,0.05,0.6893,1.9,0.7774999999999999
