N_iter,Min_dist,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1,0.0113,-0.9936,0.006399999999999961,1.0,0.0
100,0.1,50,0.1,0.05,0.0119,-1.0,0.0,-1.2545,0.25449999999999995
100,0.1,50,0.1,0.01,0.0077,1.1,0.10000000000000009,-1.1,0.10000000000000009
100,0.1,50,0.1,0.0001,0.0088,1.7,0.7,-1.2,0.19999999999999996
100,0.1,50,0.05,0.1,0.0223,0.8576,0.14239999999999997,1.1008,0.1008
100,0.1,50,0.05,0.05,0.0158,1.1589,0.15890000000000004,0.8,0.19999999999999996
100,0.1,50,0.05,0.01,0.0121,1.1,0.10000000000000009,0.1,0.9
100,0.1,50,0.05,0.0001,0.0077,-1.6,0.6000000000000001,-1.1,0.10000000000000009
100,0.1,50,0.01,0.1,0.0468,1.0188,0.018799999999999928,-0.9747,0.02529999999999999
100,0.1,50,0.01,0.05,0.0669,-0.0,1.0,-1.0467,0.046699999999999964
100,0.1,50,0.01,0.01,0.0383,1.1894,0.1894,-1.1832,0.18320000000000003
100,0.1,50,0.01,0.0001,0.0071,-0.0,1.0,-1.4,0.3999999999999999
100,0.1,50,0.0001,0.1,0.0962,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,50,0.0001,0.05,0.1928,-1.0004,0.00039999999999995595,1.0004,0.00039999999999995595
100,0.1,50,0.0001,0.01,0.5404,1.0041,0.0040999999999999925,0.591,0.40900000000000003
100,0.1,50,0.0001,0.0001,0.3212,-0.0,1.0,1.8917,0.8916999999999999
100,0.1,100,0.1,0.1,0.0236,1.125,0.125,-0.5,0.5
100,0.1,100,0.1,0.05,0.033,1.264,0.264,-0.8,0.19999999999999996
100,0.1,100,0.1,0.01,0.0165,0.5,0.5,0.8,0.19999999999999996
100,0.1,100,0.1,0.0001,0.0166,-1.4,0.3999999999999999,0.6,0.4
100,0.1,100,0.05,0.1,0.0423,-0.9,0.09999999999999998,1.0574,0.057399999999999896
100,0.1,100,0.05,0.05,0.0293,0.1,0.9,0.9,0.09999999999999998
100,0.1,100,0.05,0.01,0.0248,1.1,0.10000000000000009,-0.2,0.8
100,0.1,100,0.05,0.0001,0.0169,0.5,0.5,1.9,0.8999999999999999
100,0.1,100,0.01,0.1,0.1114,1.0219,0.02190000000000003,-0.9822,0.017800000000000038
100,0.1,100,0.01,0.05,0.1346,1.0467,0.046699999999999964,-1.0402,0.040200000000000014
100,0.1,100,0.01,0.01,0.0911,1.1894,0.1894,-0.3,0.7
