N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
100,50,0.1,0.1,0.0182,2.7,1.5775000000000001
100,50,0.1,0.05,0.0159,1.1,0.022499999999999964
100,50,0.1,0.01,0.0139,2.2,1.0775000000000001
100,50,0.1,0.0001,0.0148,1.7,0.5774999999999999
100,50,0.05,0.1,0.0152,0.9,0.22250000000000003
100,50,0.05,0.05,0.0154,2.9,1.7774999999999999
100,50,0.05,0.01,0.0145,1.6,0.47750000000000004
100,50,0.05,0.0001,0.0139,2.8,1.6774999999999998
100,50,0.01,0.1,0.0147,2.7,1.5775000000000001
100,50,0.01,0.05,0.0144,1.2,0.0774999999999999
100,50,0.01,0.01,0.0138,1.7,0.5774999999999999
100,50,0.01,0.0001,0.0144,2.7,1.5775000000000001
100,50,0.0001,0.1,0.3587,9472663.3526,9472662.2301
100,50,0.0001,0.05,0.2706,2.9,1.7774999999999999
100,50,0.0001,0.01,0.166,2.9,1.7774999999999999
100,50,0.0001,0.0001,0.013,1.4,0.27749999999999986
100,100,0.1,0.1,0.0269,1.2,0.0774999999999999
100,100,0.1,0.05,0.0241,2.4,1.2774999999999999
100,100,0.1,0.01,0.0258,2.0,0.8775
100,100,0.1,0.0001,0.0236,2.2,1.0775000000000001
100,100,0.05,0.1,0.0275,2.1,0.9775
100,100,0.05,0.05,0.0243,1.9,0.7774999999999999
100,100,0.05,0.01,0.0261,1.7,0.5774999999999999
100,100,0.05,0.0001,0.0241,1.5,0.37749999999999995
100,100,0.01,0.1,0.0336,2.8,1.6774999999999998
100,100,0.01,0.05,0.0282,1.3,0.1775
100,100,0.01,0.01,0.0251,2.8,1.6774999999999998
100,100,0.01,0.0001,0.0206,2.0,0.8775
100,100,0.0001,0.1,0.5137,2.4,1.2774999999999999
100,100,0.0001,0.05,0.6574,-14184.9631,14186.0856
100,100,0.0001,0.01,0.4913,1.0666,0.05590000000000006
100,100,0.0001,0.0001,0.0216,2.7,1.5775000000000001
100,150,0.1,0.1,0.0381,1.2,0.0774999999999999
100,150,0.1,0.05,0.0342,1.2,0.0774999999999999
100,150,0.1,0.01,0.0406,2.0,0.8775
100,150,0.1,0.0001,0.0358,2.5,1.3775
100,150,0.05,0.1,0.0354,2.7,1.5775000000000001
100,150,0.05,0.05,0.0349,2.2,1.0775000000000001
100,150,0.05,0.01,0.0358,1.7,0.5774999999999999
100,150,0.05,0.0001,0.0382,2.8,1.6774999999999998
100,150,0.01,0.1,0.0501,2.2,1.0775000000000001
100,150,0.01,0.05,0.0407,2.4,1.2774999999999999
100,150,0.01,0.01,0.0346,1.1,0.022499999999999964
100,150,0.01,0.0001,0.0357,0.9,0.22250000000000003
100,150,0.0001,0.1,0.7906,3.0414,1.9188999999999998
100,150,0.0001,0.05,0.9701,1.4821,0.3595999999999999
100,150,0.0001,0.01,0.6431,2.6,1.4775
100,150,0.0001,0.0001,0.0341,1.6,0.47750000000000004
100,200,0.1,0.1,0.0431,0.9,0.22250000000000003
100,200,0.1,0.05,0.0446,2.1,0.9775
100,200,0.1,0.01,0.0506,2.7,1.5775000000000001
100,200,0.1,0.0001,0.0438,1.1,0.022499999999999964
100,200,0.05,0.1,0.0557,1.3,0.1775
100,200,0.05,0.05,0.0456,1.4,0.27749999999999986
100,200,0.05,0.01,0.0435,2.7,1.5775000000000001
100,200,0.05,0.0001,0.045,2.2,1.0775000000000001
100,200,0.01,0.1,0.0826,1.1,0.022499999999999964
100,200,0.01,0.05,0.0512,2.4,1.2774999999999999
100,200,0.01,0.01,0.0448,2.3,1.1774999999999998
100,200,0.01,0.0001,0.0446,1.4,0.27749999999999986
100,200,0.0001,0.1,0.9785,2.0,0.8775
100,200,0.0001,0.05,1.0301,2.7,1.5775000000000001
100,200,0.0001,0.01,0.7567,2.8,1.6774999999999998
100,200,0.0001,0.0001,0.0509,2.6,1.4775
500,50,0.1,0.1,0.0126,1.1,0.022499999999999964
500,50,0.1,0.05,0.0146,1.6,0.47750000000000004
500,50,0.1,0.01,0.0147,1.0,0.12250000000000005
500,50,0.1,0.0001,0.0155,2.4,1.2774999999999999
500,50,0.05,0.1,0.015,2.9,1.7774999999999999
500,50,0.05,0.05,0.0144,2.6,1.4775
500,50,0.05,0.01,0.0146,1.8,0.6775
500,50,0.05,0.0001,0.0147,1.9,0.7774999999999999
500,50,0.01,0.1,0.025,2.8,1.6774999999999998
500,50,0.01,0.05,0.0198,2.2,1.0775000000000001
500,50,0.01,0.01,0.0146,1.9,0.7774999999999999
500,50,0.01,0.0001,0.0146,2.5,1.3775
500,50,0.0001,0.1,0.8665,2.9,1.7774999999999999
500,50,0.0001,0.05,1.0413,64933977.8308,64933976.708299994
500,50,0.0001,0.01,0.5407,3.1716,2.0491
500,50,0.0001,0.0001,0.0131,1.9,0.7774999999999999
500,100,0.1,0.1,0.0264,2.2,1.0775000000000001
500,100,0.1,0.05,0.0244,1.9,0.7774999999999999
