N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
500,100,0.1,0.01,0.0262,2.1,0.9775
500,100,0.1,0.0001,0.0231,2.0,0.8775
500,100,0.05,0.1,0.0268,1.0,0.12250000000000005
500,100,0.05,0.05,0.0241,1.5,0.37749999999999995
500,100,0.05,0.01,0.0253,1.1,0.022499999999999964
500,100,0.05,0.0001,0.0255,1.8,0.6775
500,100,0.01,0.1,0.0375,1.7,0.5774999999999999
500,100,0.01,0.05,0.0263,1.2,0.0774999999999999
500,100,0.01,0.01,0.0281,2.4,1.2774999999999999
500,100,0.01,0.0001,0.0263,0.9,0.22250000000000003
500,100,0.0001,0.1,1.7143,2.1,0.9775
500,100,0.0001,0.05,1.758,2.4,1.2774999999999999
500,100,0.0001,0.01,0.8708,2.9,1.7774999999999999
500,100,0.0001,0.0001,0.0256,1.1,0.022499999999999964
500,150,0.1,0.1,0.0361,1.1,0.022499999999999964
500,150,0.1,0.05,0.0357,1.3,0.1775
500,150,0.1,0.01,0.0345,1.0,0.12250000000000005
500,150,0.1,0.0001,0.0361,2.0,0.8775
500,150,0.05,0.1,0.0331,1.7,0.5774999999999999
500,150,0.05,0.05,0.035,2.9,1.7774999999999999
500,150,0.05,0.01,0.0355,1.9,0.7774999999999999
500,150,0.05,0.0001,0.0342,2.7,1.5775000000000001
500,150,0.01,0.1,0.0571,1.7,0.5774999999999999
500,150,0.01,0.05,0.0382,1.7,0.5774999999999999
500,150,0.01,0.01,0.0359,1.8,0.6775
500,150,0.01,0.0001,0.038,1.0,0.12250000000000005
500,150,0.0001,0.1,2.7681,1.9,0.7774999999999999
500,150,0.0001,0.05,3.7643,2.1,0.9775
500,150,0.0001,0.01,1.9355,3.1716,2.0491
500,150,0.0001,0.0001,0.039,2.3,1.1774999999999998
500,200,0.1,0.1,0.0452,1.3,0.1775
500,200,0.1,0.05,0.0407,1.4,0.27749999999999986
500,200,0.1,0.01,0.0431,2.3,1.1774999999999998
500,200,0.1,0.0001,0.0441,1.1,0.022499999999999964
500,200,0.05,0.1,0.0423,1.1,0.022499999999999964
500,200,0.05,0.05,0.0421,1.0,0.12250000000000005
500,200,0.05,0.01,0.0419,2.1,0.9775
500,200,0.05,0.0001,0.0409,1.5,0.37749999999999995
500,200,0.01,0.1,0.0696,1.9,0.7774999999999999
500,200,0.01,0.05,0.0557,2.8,1.6774999999999998
500,200,0.01,0.01,0.043,1.9,0.7774999999999999
500,200,0.01,0.0001,0.0436,1.2,0.0774999999999999
500,200,0.0001,0.1,3.2339,2.0,0.8775
500,200,0.0001,0.05,4.15,1240438.5904,1240437.4679
500,200,0.0001,0.01,2.8003,3.8633,2.7408
500,200,0.0001,0.0001,0.0519,1.1,0.022499999999999964
1000,50,0.1,0.1,0.0139,2.7,1.5775000000000001
1000,50,0.1,0.05,0.0151,1.5,0.37749999999999995
1000,50,0.1,0.01,0.0151,1.5,0.37749999999999995
1000,50,0.1,0.0001,0.0152,0.9,0.22250000000000003
1000,50,0.05,0.1,0.0152,2.2,1.0775000000000001
1000,50,0.05,0.05,0.0136,1.0,0.12250000000000005
1000,50,0.05,0.01,0.0153,2.0,0.8775
1000,50,0.05,0.0001,0.0151,1.3,0.1775
1000,50,0.01,0.1,0.0251,1.7,0.5774999999999999
1000,50,0.01,0.05,0.0154,2.5,1.3775
1000,50,0.01,0.01,0.0153,2.2,1.0775000000000001
1000,50,0.01,0.0001,0.0144,0.9,0.22250000000000003
1000,50,0.0001,0.1,1.1521,617416.9081,617415.7856
1000,50,0.0001,0.05,1.3807,2.7,1.5775000000000001
1000,50,0.0001,0.01,0.8341,2.7,1.5775000000000001
1000,50,0.0001,0.0001,0.0121,0.9,0.22250000000000003
1000,100,0.1,0.1,0.0276,2.6,1.4775
1000,100,0.1,0.05,0.0284,2.6,1.4775
1000,100,0.1,0.01,0.0261,2.7,1.5775000000000001
1000,100,0.1,0.0001,0.0256,0.9,0.22250000000000003
1000,100,0.05,0.1,0.0287,1.3,0.1775
1000,100,0.05,0.05,0.0259,1.8,0.6775
1000,100,0.05,0.01,0.0264,1.6,0.47750000000000004
1000,100,0.05,0.0001,0.0258,2.8,1.6774999999999998
1000,100,0.01,0.1,0.0447,2.5,1.3775
1000,100,0.01,0.05,0.0321,1.1,0.022499999999999964
1000,100,0.01,0.01,0.0261,2.0,0.8775
1000,100,0.01,0.0001,0.023,1.8,0.6775
1000,100,0.0001,0.1,3.2213,1.4791,0.35660000000000003
1000,100,0.0001,0.05,2.3925,2.1,0.9775
1000,100,0.0001,0.01,1.0742,3.1716,2.0491
1000,100,0.0001,0.0001,0.0246,2.8,1.6774999999999998
1000,150,0.1,0.1,0.0357,1.2,0.0774999999999999
1000,150,0.1,0.05,0.0366,1.9,0.7774999999999999
1000,150,0.1,0.01,0.0364,1.2,0.0774999999999999
1000,150,0.1,0.0001,0.0341,1.4,0.27749999999999986
1000,150,0.05,0.1,0.0325,2.4,1.2774999999999999
1000,150,0.05,0.05,0.0346,2.0,0.8775
1000,150,0.05,0.01,0.0334,2.3,1.1774999999999998
1000,150,0.05,0.0001,0.032,1.4,0.27749999999999986
1000,150,0.01,0.1,0.0572,2.1,0.9775
1000,150,0.01,0.05,0.0456,2.5,1.3775
1000,150,0.01,0.01,0.035,2.5,1.3775
1000,150,0.01,0.0001,0.0363,1.2,0.0774999999999999
1000,150,0.0001,0.1,2.9195,2.9,1.7774999999999999
1000,150,0.0001,0.05,3.3502,1.7,0.5774999999999999
1000,150,0.0001,0.01,2.4042,2.6,1.4775
1000,150,0.0001,0.0001,0.0365,2.4,1.2774999999999999
1000,200,0.1,0.1,0.0427,2.3,1.1774999999999998
1000,200,0.1,0.05,0.0438,1.4,0.27749999999999986
1000,200,0.1,0.01,0.0452,2.2,1.0775000000000001
1000,200,0.1,0.0001,0.0452,1.4,0.27749999999999986
1000,200,0.05,0.1,0.0441,2.7,1.5775000000000001
1000,200,0.05,0.05,0.0448,2.0,0.8775
1000,200,0.05,0.01,0.0423,2.9,1.7774999999999999
1000,200,0.05,0.0001,0.0442,2.5,1.3775
1000,200,0.01,0.1,0.0576,1.3,0.1775
1000,200,0.01,0.05,0.0485,2.6,1.4775
1000,200,0.01,0.01,0.0456,2.8,1.6774999999999998
1000,200,0.01,0.0001,0.0444,2.6,1.4775
1000,200,0.0001,0.1,4.0075,2.3,1.1774999999999998
1000,200,0.0001,0.05,5.4263,1.7,0.5774999999999999
1000,200,0.0001,0.01,2.6261,2.1,0.9775
1000,200,0.0001,0.0001,0.0416,1.2,0.0774999999999999
2000,50,0.1,0.1,0.0117,2.0,0.8775
2000,50,0.1,0.05,0.013,1.5,0.37749999999999995
2000,50,0.1,0.01,0.0139,2.4,1.2774999999999999
2000,50,0.1,0.0001,0.0139,1.6,0.47750000000000004
2000,50,0.05,0.1,0.0143,0.9,0.22250000000000003
2000,50,0.05,0.05,0.0149,1.5,0.37749999999999995
2000,50,0.05,0.01,0.0145,1.5,0.37749999999999995
2000,50,0.05,0.0001,0.014,2.1,0.9775
2000,50,0.01,0.1,0.0253,2.6,1.4775
2000,50,0.01,0.05,0.0171,1.4,0.27749999999999986
2000,50,0.01,0.01,0.0144,1.9,0.7774999999999999
2000,50,0.01,0.0001,0.014,1.3,0.1775
2000,50,0.0001,0.1,1.5467,2.6,1.4775
2000,50,0.0001,0.05,2.5416,2.8,1.6774999999999998
2000,50,0.0001,0.01,0.4618,2.5,1.3775
2000,50,0.0001,0.0001,0.0135,2.0,0.8775
2000,100,0.1,0.1,0.0252,1.7,0.5774999999999999
2000,100,0.1,0.05,0.0286,1.1,0.022499999999999964
2000,100,0.1,0.01,0.0272,2.7,1.5775000000000001
2000,100,0.1,0.0001,0.0272,1.4,0.27749999999999986
2000,100,0.05,0.1,0.0276,1.3,0.1775
2000,100,0.05,0.05,0.0261,1.1,0.022499999999999964
2000,100,0.05,0.01,0.0255,2.4,1.2774999999999999
2000,100,0.05,0.0001,0.0218,2.0,0.8775
2000,100,0.01,0.1,0.0272,1.4,0.27749999999999986
2000,100,0.01,0.05,0.0236,2.4,1.2774999999999999
2000,100,0.01,0.01,0.0174,1.1,0.022499999999999964
2000,100,0.01,0.0001,0.0188,2.1,0.9775
2000,100,0.0001,0.1,3.5218,2.1,0.9775
2000,100,0.0001,0.05,3.755,1.8,0.6775
2000,100,0.0001,0.01,1.1951,2.1,0.9775
2000,100,0.0001,0.0001,0.0233,2.9,1.7774999999999999
2000,150,0.1,0.1,0.0383,1.0,0.12250000000000005
2000,150,0.1,0.05,0.0328,1.6,0.47750000000000004
2000,150,0.1,0.01,0.0349,2.1,0.9775
2000,150,0.1,0.0001,0.0319,2.0,0.8775
2000,150,0.05,0.1,0.0316,1.2,0.0774999999999999
2000,150,0.05,0.05,0.034,1.0,0.12250000000000005
2000,150,0.05,0.01,0.0318,1.7,0.5774999999999999
2000,150,0.05,0.0001,0.0317,2.9,1.7774999999999999
2000,150,0.01,0.1,0.0492,1.9,0.7774999999999999
2000,150,0.01,0.05,0.0429,1.4,0.27749999999999986
2000,150,0.01,0.01,0.03,1.0,0.12250000000000005
2000,150,0.01,0.0001,0.0314,2.2,1.0775000000000001
2000,150,0.0001,0.1,4.6564,2.4,1.2774999999999999
2000,150,0.0001,0.05,8.4018,-4.3372,5.4597
2000,150,0.0001,0.01,1.5995,1.3,0.1775
2000,150,0.0001,0.0001,0.0288,1.1,0.022499999999999964
2000,200,0.1,0.1,0.0415,0.9,0.22250000000000003
2000,200,0.1,0.05,0.0359,1.3,0.1775
2000,200,0.1,0.01,0.0363,2.7,1.5775000000000001
2000,200,0.1,0.0001,0.0361,1.0,0.12250000000000005
2000,200,0.05,0.1,0.0363,1.1,0.022499999999999964
2000,200,0.05,0.05,0.0371,2.1,0.9775
2000,200,0.05,0.01,0.0384,1.3,0.1775
2000,200,0.05,0.0001,0.0346,2.3,1.1774999999999998
2000,200,0.01,0.1,0.0513,2.7,1.5775000000000001
2000,200,0.01,0.05,0.0457,2.1,0.9775
2000,200,0.01,0.01,0.0376,1.8,0.6775
2000,200,0.01,0.0001,0.0339,2.3,1.1774999999999998
2000,200,0.0001,0.1,2.4819,2.9,1.7774999999999999
2000,200,0.0001,0.05,5.3047,2.7,1.5775000000000001
2000,200,0.0001,0.01,2.4146,2.0,0.8775
2000,200,0.0001,0.0001,0.0352,2.7,1.5775000000000001
